N-Z,N,Z,A,EL,S2n,D_S2n,is_from_experiment,S2p,D_S2p,is_from_experiment,Qa,D_Qa,is_from_experiment,Q2b,D_Q2b,is_from_experiment,Qep,D_Qep,is_from_experiment,Qbn,D_Qbn,is_from_experiment
7,13,6,19,C,4760.7611,99.9101,1,999999.0,999999.0,1,-19836.982,192.7933,1,29080.8967,98.4248,1,999999.0,999999.0,1,11229.269,100.1265,1
5,12,7,19,N,8156.4598,22.228,1,42438.0088,204.7618,1,-15526.0403,26.6702,1,17343.7002,16.4037,1,-43225.3559,204.8228,1,8567.7533,16.4037,1
3,11,8,19,O,12001.0141,2.637,1,32276.9638,17.5639,1,-8965.2032,2.7556,1,1580.8043,2.6418,1,-28875.3789,30.1157,1,-5611.5727,2.6774,1
1,10,9,19,F,19581.7825,0.2479,1,23935.466,15.0,1,-4013.7991,0.001,1,-14416.8296,10.5351,1,-21889.5836,18.5695,1,-14876.3806,0.3634,1
-1,9,10,19,Ne,30891.0346,0.3882,1,12017.1244,0.1601,1,-3528.4845,0.5156,1,-30086.3405,60.0013,1,-4754.1012,0.1601,1,-31357.2564,93.8814,1
-3,8,11,19,Na,37932.8313,60.5393,1,3600.2589,10.5381,1,-6062.2835,17.5211,1,999999.0,999999.0,1,4767.3009,10.5453,1,999999.0,999999.0,1
-5,7,12,19,Mg,999999.0,999999.0,1,-759.9999,60.0,1,-10801.8956,89.7044,1,999999.0,999999.0,1,19231.8055,60.0021,1,999999.0,999999.0,1
10,15,5,20,B,-1466.2927,583.2574,1,999999.0,999999.0,1,999999.0,999999.0,1,47635.0708,552.0237,1,999999.0,999999.0,1,28916.4961,555.1454,1
8,14,6,20,C,3558.3351,232.5678,1,999999.0,999999.0,1,-22368.4878,284.0361,1,33707.395,230.6264,1,999999.0,999999.0,1,13575.9936,231.2074,1
6,13,7,20,N,7489.3057,81.05,1,44604.0841,218.878,1,-17770.1168,82.6304,1,21783.9611,78.8941,1,-45292.7238,531.2534,1,10362.322,78.9382,1
4,12,8,20,O,11563.6481,0.8849,1,35701.0361,30.013,1,-12322.8773,3.6855,1,10838.1039,0.8849,1,-35906.5538,98.3934,1,-2787.7012,0.8849,1
2,11,9,20,F,17033.2118,0.4643,1,27708.5728,18.5696,1,-8126.2863,2.3016,1,-6867.9517,1.1094,1,-23162.6893,16.4038,1,-9840.8348,0.1628,1
0,10,10,20,Ne,28502.1857,0.3634,1,20837.058,0.0017,1,-4729.8459,0.0016,1,-24519.6261,1.863,1,-17663.761,2.637,1,-28042.6347,10.5351,1
-2,9,11,20,Na,34330.1395,93.8878,1,8600.5661,1.2019,1,-6249.6092,5.4776,1,999999.0,999999.0,1,1048.9626,1.109,1,-33059.2235,60.0113,1
-4,8,12,20,Mg,999999.0,999999.0,1,2417.8656,1.8981,1,-8933.997,20.5646,1,999999.0,999999.0,1,8436.6693,1.8699,1,999999.0,999999.0,1
11,16,5,21,B,-2470.0001,190.0,1,999999.0,999999.0,1,999999.0,999999.0,1,53150.9714,574.5213,1,999999.0,999999.0,1,32808.002,604.3953,1
9,15,6,21,C,2913.0,604.0,0,999999.0,999999.0,1,999999.0,999999.0,1,37581.0,596.0,0,999999.0,999999.0,1,15805.0,601.0,0
7,14,7,21,N,6766.9758,135.0479,1,49116.2773,542.1944,1,-20909.3222,244.1867,1,25279.5206,134.06,1,-51458.6243,562.5609,1,13364.4256,134.0508,1
5,13,8,21,O,11413.4601,12.2863,1,38929.6628,99.1186,1,-15394.7616,21.1078,1,13793.8102,12.0001,1,-36730.504,230.9367,1,8.179,12.0,1
3,12,9,21,F,14702.7962,1.8,1,30481.8024,16.5022,1,-10342.5998,15.1076,1,2137.2521,1.8005,1,-29103.0741,78.9146,1,-1076.9911,1.8,1
1,11,10,21,Ne,23626.466,0.1646,1,23642.5763,2.6372,1,-7347.928,0.0385,1,-16635.627,0.7555,1,-16816.9192,0.8858,1,-20653.583,1.1096,1
-1,10,11,21,Na,31256.878,10.5352,1,15275.3544,0.0424,1,-6561.4745,0.2515,1,-29275.0,600.0,0,-9456.3652,0.0517,1,-27733.8694,1.8635,1
-3,9,12,21,Mg,37077.1795,60.0058,1,5426.145,0.7713,1,-8021.5172,0.8335,1,999999.0,999999.0,1,10656.8117,0.7545,1,999999.0,999999.0,1
