N-Z,N,Z,A,EL,Sn,D_Sn,is_from_experiment,Sp,D_Sp,is_from_experiment,Q4b,D_Q4b,is_from_experiment,Qda,D_Qda,is_from_experiment,Qpa,D_Qpa,is_from_experiment,Qna,D_Qna,is_from_experiment
-4,6,10,16,Ne,24299.9167,69.758,1,-131.0518,24.8079,1,999999.0,999999.0,1,2733.1794,45.9367,1,-13179.0,501.0,0,6517.7455,22.5872,1
7,12,5,17,B,1466.6951,205.5768,1,21019.788,262.9583,1,41764.6204,204.1038,1,4601.3082,262.9583,1,8625.8744,243.2017,1,999999.0,999999.0,1
5,11,6,17,C,733.5717,17.7296,1,23368.7903,30.0839,1,4531.4275,17.3685,1,2785.307,27.2719,1,2232.2488,27.4143,1,-13276.2208,133.3803,1
3,10,7,17,N,5885.1465,15.1755,1,13113.0255,15.4208,1,-26849.5009,61.4738,1,8707.7406,15.0213,1,9714.2407,15.0,1,-10147.2049,25.9809,1
1,9,8,17,O,4143.0801,0.0008,1,13781.6425,2.3014,1,999999.0,999999.0,1,9800.6047,0.0009,1,1191.8742,0.0007,1,1817.7447,0.0038,1
-1,8,9,17,F,16794.7986,5.3699,1,600.2676,0.2479,1,999999.0,999999.0,1,9806.8861,0.5493,1,-1192.0247,0.2491,1,4734.6867,0.2479,1
-3,7,10,17,Ne,15557.6411,20.4831,1,1463.7009,5.3759,1,999999.0,999999.0,1,10644.5068,14.0045,1,-10599.8955,41.1203,1,14139.073,0.3551,1
-5,6,11,17,Na,999999.0,999999.0,1,-3443.8336,63.0353,1,999999.0,999999.0,1,5215.013,89.447,1,999999.0,999999.0,1,8401.5792,72.4208,1
8,13,5,18,B,-5.0,5.0,1,999999.0,999999.0,1,50919.5273,204.1654,1,5056.3082,263.0058,1,6830.8744,263.0058,1,999999.0,999999.0,1
6,12,6,18,C,4183.9319,34.6632,1,26086.0271,206.2966,1,19601.6483,30.0022,1,-1481.6261,38.775,1,825.9414,36.6363,1,-19260.1527,168.4897,1
4,11,7,18,N,2828.2294,23.8711,1,15207.6831,25.4237,1,-11924.8244,95.7001,1,10129.8413,18.911,1,8104.0775,18.5868,1,-10197.8098,28.0543,1
2,10,8,18,O,8045.3702,0.001,1,15941.8662,15.0,1,999999.0,999999.0,1,4244.0835,2.3014,1,3979.8008,0.0009,1,-5009.5593,0.8,1
0,9,9,18,F,9149.9069,0.5254,1,5607.0944,0.4633,1,999999.0,999999.0,1,16320.9217,0.4633,1,2881.5455,0.6745,1,6418.0766,0.4633,1
-2,8,10,18,Ne,19254.1527,0.5071,1,3923.055,0.4399,1,999999.0,999999.0,1,5353.2426,5.3765,1,-6385.0796,14.0047,1,8108.3974,0.6102,1
-4,7,11,18,Na,17752.9059,111.2102,1,-1248.5688,93.881,1,999999.0,999999.0,1,11762.0238,96.0891,1,-10313.3267,115.154,1,14117.6419,94.9194,1
9,14,5,19,B,93.7073,563.6393,1,999999.0,999999.0,1,61257.6957,525.3627,1,999999.0,999999.0,1,7187.1671,550.9035,1,999999.0,999999.0,1
7,13,6,19,C,576.8292,93.7043,1,26667.8564,226.6358,1,30661.701,98.3896,1,-591.7602,226.5806,1,166.1109,101.41,1,-19386.982,192.7933,1
5,12,7,19,N,5328.2305,24.7772,1,16351.9817,34.1919,1,2926.8705,19.4954,1,5535.1826,23.8877,1,7026.1771,16.7894,1,-15609.0415,29.5396,1
3,11,8,19,O,3955.6439,2.637,1,17069.2807,18.7558,1,-28505.5362,60.059,1,6173.5861,15.23,1,2513.0058,3.5,1,-4714.8732,4.4445,1
1,10,9,19,F,10431.8757,0.4633,1,7993.5998,0.001,1,999999.0,999999.0,1,10032.1261,0.001,1,8113.6122,0.0008,1,-1524.9501,2.3014,1
-1,9,10,19,Ne,11636.8819,0.3965,1,6410.03,0.4902,1,999999.0,999999.0,1,10511.1593,0.295,1,-4059.0731,5.3666,1,12135.4579,0.1601,1
-3,8,11,19,Na,20179.9254,94.4705,1,-322.7961,10.5385,1,999999.0,999999.0,1,7139.7395,10.5411,1,-6193.3353,23.0308,1,7900.6049,11.8222,1
-5,7,12,19,Mg,999999.0,999999.0,1,488.5689,111.4165,1,999999.0,999999.0,1,7829.6213,84.5822,1,999999.0,999999.0,1,13498.0211,63.4,1
10,15,5,20,B,-1560.0,150.0,1,999999.0,999999.0,1,69419.0319,546.357,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
8,14,6,20,C,2981.5058,250.7354,1,29555.6549,573.754,1,44545.4989,230.6247,1,-3578.2661,308.0115,1,-1348.6998,307.9709,1,999999.0,999999.0,1
6,13,7,20,N,2161.0753,80.5814,1,17936.2277,126.1141,1,14916.0093,78.9019,1,7558.0392,84.4055,1,5598.6735,80.7825,1,-16303.4217,218.8209,1
4,12,8,20,O,7608.0042,2.7815,1,19349.0544,16.4276,1,-13681.5222,2.0625,1,1393.8113,18.5906,1,790.1482,15.0261,1,-11589.3056,17.3874,1
2,11,9,20,F,6601.3362,0.0297,1,10639.2921,2.6371,1,999999.0,999999.0,1,11476.1601,0.0297,1,5655.3562,0.0297,1,-2241.1398,15.0,1
0,10,10,20,Ne,16865.3038,0.1601,1,12843.4581,0.0017,1,999999.0,999999.0,1,2795.7624,0.4633,1,-4129.5783,0.2479,1,-586.7658,0.0017,1
-2,9,11,20,Na,14150.214,10.5934,1,2190.5361,1.1205,1,999999.0,999999.0,1,12243.6782,1.167,1,-4785.9083,1.1642,1,10545.1894,1.1363,1
-4,8,12,20,Mg,22432.0181,60.03,1,2740.6616,10.6986,1,999999.0,999999.0,1,3150.5091,93.8997,1,-12377.8305,59.6447,1,6623.6442,1.8964,1
11,16,5,21,B,-910.0,242.0744,1,999999.0,999999.0,1,78430.492,558.6673,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
9,15,6,21,C,-68.0,639.0,0,31047.0,809.0,0,51375.0,596.0,0,-3416.0,795.0,0,-1285.0,630.0,0,999999.0,999999.0,1
7,14,7,21,N,4605.9005,155.5414,1,19560.6224,266.752,1,27416.7728,134.0479,1,3528.9679,166.2809,1,5176.7049,137.3639,1,-20914.3222,244.2379,1
5,13,8,21,O,3805.456,12.0326,1,20993.4351,79.8015,1,-2841.8169,12.0237,1,2916.5858,20.3244,1,-187.0785,22.1094,1,-11210.8297,32.311,1
3,12,9,21,F,8101.4601,1.8002,1,11132.748,2.0058,1,-27137.0,600.0,0,7330.344,3.1927,1,5599.2663,1.8,1,-7514.3705,18.6566,1
1,11,10,21,Ne,6761.1623,0.0385,1,13003.2842,0.0486,1,999999.0,999999.0,1,6466.4758,0.0385,1,-1740.8337,0.4649,1,697.4421,0.0385,1
-1,10,11,21,Na,17106.6639,1.1098,1,2431.8963,0.0423,1,999999.0,999999.0,1,6773.8961,0.1656,1,-2638.4195,0.3658,1,2588.4323,0.4652,1
-3,9,12,21,Mg,14645.1614,2.01,1,3235.6089,1.3413,1,999999.0,999999.0,1,8685.2732,10.5621,1,-9270.086,93.8843,1,11232.6355,0.8375,1
-5,8,13,21,Al,999999.0,999999.0,1,-2323.0,600.0,0,999999.0,999999.0,1,5962.0,603.0,0,999999.0,999999.0,1,7698.0,607.0,0
10,16,6,22,C,103.0,640.0,0,32060.6549,604.7261,1,61635.9187,231.4903,1,-5079.5587,593.3748,1,-1294.9925,574.1025,1,999999.0,999999.0,1
8,15,7,22,N,1538.4289,247.2672,1,21167.0,631.0,0,36946.1961,207.7793,1,4972.0449,310.4191,1,4215.1053,229.8972,1,-22359.0438,564.9586,1
6,14,8,22,O,6850.3198,58.1722,1,23237.8544,145.6326,1,9683.0184,56.9212,1,-1772.6587,97.2845,1,-1709.1678,59.2375,1,-17484.3202,113.6683,1
4,13,9,22,F,5230.337,12.529,1,12557.629,17.255,1,-15408.0,401.0,0,9708.0112,12.4305,1,4324.5732,12.6763,1,-7416.477,20.5625,1
2,12,10,22,Ne,10364.2574,0.0424,1,15266.0816,1.8001,1,-41665.0,500.0,0,2703.5545,0.0346,1,-1673.2154,0.0177,1,-5711.1714,2.637,1
0,11,11,22,Na,11067.8522,0.1384,1,6738.5862,0.1373,1,999999.0,999999.0,1,12571.3477,0.1318,1,-2069.3898,0.2071,1,1952.4558,0.1318,1
-2,10,12,22,Mg,19375.1551,0.7711,1,5504.1,0.1648,1,999999.0,999999.0,1,3460.3322,1.1204,1,-8465.3156,10.5363,1,3494.3623,0.2256,1
-4,9,13,22,Al,16960.0,721.0,0,-9.0,401.0,0,999999.0,999999.0,1,11435.0,401.0,0,-8773.0,405.0,0,10918.0,401.0,0
-6,8,14,22,Si,999999.0,999999.0,1,739.0,781.0,0,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,7448.0,504.0,0
11,17,6,23,C,-2488.0,1023.0,0,999999.0,999999.0,1,69325.0,997.0,0,-3501.0,1143.0,0,-367.0,1137.0,0,999999.0,999999.0,1
9,16,7,23,N,3115.6936,469.096,1,24179.745,480.0693,1,46250.2825,420.5696,1,1788.0,730.0,0,4080.9175,479.6525,1,-27034.7375,689.4815,1
7,15,8,23,O,2732.9795,134.3643,1,24432.405,240.8029,1,20095.0452,121.7119,1,100.2622,181.0597,1,-2281.072,145.045,1,-17235.7939,260.7711,1
5,14,9,23,F,7579.4305,35.5526,1,13286.7398,65.9564,1,-3462.8077,33.3222,1,5934.0366,35.4154,1,4353.1469,33.3322,1,-12834.8322,85.6419,1
3,13,10,23,Ne,5200.6473,0.1029,1,15236.3919,12.3994,1,-29104.0,500.0,0,5604.3672,1.803,1,-272.5266,0.1085,1,-3303.8145,0.8911,1
1,12,11,23,Na,12419.7801,0.1318,1,8794.1088,0.0178,1,999999.0,999999.0,1,6912.7299,0.0385,1,2376.1338,0.0024,1,-3865.9881,0.0298,1
-1,11,12,23,Mg,13145.0063,0.1624,1,7581.2541,0.1355,1,999999.0,999999.0,1,7421.9898,0.0529,1,-7460.1079,1.1094,1,7214.6598,0.0318,1
-3,10,13,23,Al,19525.0,401.0,0,140.9136,0.3797,1,999999.0,999999.0,1,6555.0275,0.8295,1,-5865.5676,1.8946,1,5543.9848,1.1613,1
-5,9,14,23,Si,17762.0,707.0,0,1541.0,641.0,0,999999.0,999999.0,1,7571.0,781.0,0,999999.0,999999.0,1,12118.0,500.0,0
10,17,7,24,N,-2146.0,581.0,0,24522.0,1074.0,0,55356.0,401.0,0,4038.0,463.0,0,6159.0,718.0,0,-25798.0,687.0,0
8,16,8,24,O,4192.2843,204.9326,1,25508.9957,451.7326,1,32433.9825,164.8745,1,-2553.5932,265.2467,1,-1867.4558,212.491,1,-21496.0,619.0,0
6,15,9,24,F,3812.0656,103.1976,1,14365.8258,156.0553,1,7593.328,97.6706,1,8972.2908,113.0464,1,4346.5373,98.4047,1,-12040.9973,165.8564,1
4,14,10,24,Ne,8868.9154,0.5226,1,16525.8769,33.3244,1,-16696.828,19.4788,1,1965.7888,12.4096,1,-1039.982,1.8716,1,-8367.274,12.0109,1
2,13,11,24,Na,6959.3653,0.0165,1,10552.8268,0.1057,1,-42438.0,500.0,0,10317.6221,0.0242,1,2177.9309,0.0419,1,-2723.8933,1.8001,1
0,12,12,24,Mg,16531.2216,0.0343,1,11692.6957,0.013,1,999999.0,999999.0,1,1958.6204,0.1323,1,-6884.6656,0.0443,1,-2555.3996,0.0406,1
-2,11,13,24,Al,14868.2013,0.4132,1,1864.1087,0.2301,1,999999.0,999999.0,1,11061.9812,0.278,1,-6088.6076,0.7882,1,7782.4474,0.2318,1
-4,10,14,24,Si,21276.0,501.0,0,3291.8566,19.4751,1,999999.0,999999.0,1,3255.0,401.0,0,-11480.0,600.0,0,5487.7372,19.4867,1
-6,9,15,24,P,999999.0,999999.0,1,-2781.0,707.0,0,999999.0,999999.0,1,11091.0,707.0,0,999999.0,999999.0,1,12577.0,781.0,0
