N-Z,N,Z,A,EL,O,Mass_excess_keV,D_Mass_excess_keV,is_from_experiment,Binding_enrgy_perA_keV,D_Binding_enrgy_perA_keV,is_from_experiment,Decay_mode,Qbeta_keV,D_Qbeta_keV,is_from_experiment,A,Atomic_mass_microu,D_Atomic_mass_microu,is_from_experiment
16,82,66,148,Dy,na,-67859.397,8.724,1,8180.943,0.0589,1,B-,-9868.2304,84.2872,1,147,927149.944,9.365,1
14,81,67,148,Ho,x,-57991.166,83.834,1,8108.9797,0.5664,1,B-,-6512.1694,84.4583,1,147,937743.925,90.0,1
12,80,68,148,Er,x,-51478.997,10.246,1,8059.6924,0.0692,1,B-,-12713.963,14.4906,1,147,944735.026,11.0,1
10,79,69,148,Tm,x,-38765.034,10.246,1,7968.5011,0.0692,1,B-,-8535.0,400.0,0,147,958384.026,11.0,1
8,78,70,148,Yb,x,-30230.0,400.0,0,7906.0,3.0,0,B-,999999.0,999999.0,1,147,967547.0,429.0,0
41,95,54,149,Xe,x,-33000.0,300.0,0,8009.0,2.0,0,B-,10300.0,500.0,0,148,964573.0,322.0,0
39,94,55,149,Cs,x,-43300.0,400.0,0,8073.0,3.0,0,B-,9531.0,400.0,0,148,953516.0,429.0,0
37,93,56,149,Ba,x,-52830.62,2.515,1,8131.8495,0.0169,1,B-,7389.301,200.2781,1,148,943284.0,2.7,1
35,92,57,149,La,+,-60219.921,200.262,1,8176.1915,1.344,1,B-,6450.0,200.0,1,148,935351.259,214.99,1
33,91,58,149,Ce,x,-66669.921,10.246,1,8214.2294,0.0688,1,B-,4369.4525,14.2296,1,148,928426.9,11.0,1
31,90,59,149,Pr,x,-71039.373,9.874,1,8238.304,0.0663,1,B-,3336.1617,10.0853,1,148,923736.1,10.6,1
29,89,60,149,Nd,-n,-74375.535,2.054,1,8255.4437,0.0138,1,B-,1688.8697,2.4588,1,148,920154.583,2.205,1
27,88,61,149,Pm,na,-76064.404,2.184,1,8261.5277,0.0147,1,B-,1071.4936,1.8747,1,148,918341.507,2.344,1
25,87,62,149,Sm,na,-77135.898,1.157,1,8263.4683,0.0078,1,B-,-694.5812,3.7881,1,148,917191.211,1.241,1
23,86,63,149,Eu,na,-76441.317,3.903,1,8253.556,0.0262,1,B-,-1314.1437,4.1361,1,148,917936.875,4.19,1
21,85,64,149,Gd,na,-75127.173,3.31,1,8239.4856,0.0222,1,B-,-3638.5336,4.3388,1,148,919347.666,3.553,1
19,84,65,149,Tb,na,-71488.639,3.629,1,8209.8153,0.0244,1,B-,-3794.6493,9.1335,1,148,923253.792,3.895,1
17,83,66,149,Dy,na,-67693.99,9.183,1,8179.0972,0.0616,1,B-,-6048.1366,12.7928,1,148,927327.516,9.858,1
15,82,67,149,Ho,na,-61645.854,11.985,1,8133.255,0.0804,1,B-,-7904.2328,30.4066,1,148,933820.457,12.866,1
13,81,68,149,Er,x,-53741.621,27.945,1,8074.9558,0.1875,1,B-,-9801.0,202.0,0,148,942306.0,30.0,1
11,80,69,149,Tm,x,-43940.0,200.0,0,8004.0,1.0,0,B-,-10611.0,361.0,0,148,952828.0,215.0,0
9,79,70,149,Yb,x,-33330.0,300.0,0,7927.0,2.0,0,B-,999999.0,999999.0,1,148,964219.0,322.0,0
42,96,54,150,Xe,x,-28990.0,300.0,0,7983.0,2.0,0,B-,9180.0,500.0,0,149,968878.0,322.0,0
40,95,55,150,Cs,x,-38170.0,400.0,0,8039.0,3.0,0,B-,11720.0,400.0,0,149,959023.0,429.0,0
38,94,56,150,Ba,x,-49889.799,5.682,1,8111.8405,0.0379,1,B-,6421.3477,6.2138,1,149,946441.1,6.1,1
36,93,57,150,La,x,-56311.147,2.515,1,8149.4339,0.0168,1,B-,8535.7155,11.9641,1,149,939547.5,2.7,1
34,92,58,150,Ce,na,-64846.863,11.697,1,8201.123,0.078,1,B-,3453.6462,14.2913,1,149,930384.032,12.556,1
32,91,59,150,Pr,na,-68300.509,9.015,1,8218.9316,0.0601,1,B-,5379.4422,9.0682,1,149,926676.391,9.677,1
30,90,60,150,Nd,na,-73679.951,1.129,1,8249.5789,0.0075,1,B-,-82.6155,20.001,1,149,920901.322,1.211,1
28,89,61,150,Pm,+,-73597.336,20.031,1,8243.8125,0.1335,1,B-,3454.0,20.0,1,149,920990.014,21.504,1
26,88,62,150,Sm,na,-77051.336,1.112,1,8261.6235,0.0074,1,B-,-2258.9662,6.1803,1,149,917281.993,1.193,1
24,87,63,150,Eu,na,-74792.369,6.231,1,8241.3481,0.0415,1,B-,971.6815,3.5428,1,149,919707.092,6.688,1
22,86,64,150,Gd,na,-75764.051,6.055,1,8242.6103,0.0404,1,B-,-4658.2621,8.3784,1,149,918663.949,6.5,1
20,85,65,150,Tb,na,-71105.789,7.371,1,8206.3396,0.0491,1,B-,-1796.1707,8.3886,1,149,923664.799,7.912,1
18,84,66,150,Dy,na,-69309.618,4.319,1,8189.1495,0.0288,1,B-,-7363.7264,14.4629,1,149,925593.068,4.636,1
16,83,67,150,Ho,na,-61945.892,14.168,1,8134.8423,0.0945,1,B-,-4114.5689,13.591,1,149,933498.353,15.209,1
14,82,68,150,Er,na,-57831.323,17.194,1,8102.1962,0.1146,1,B-,-11340.0,196.0,0,149,937915.524,18.458,1
12,81,69,150,Tm,x,-46491.0,196.0,0,8021.0,1.0,0,B-,-7661.0,358.0,0,149,950090.0,210.0,0
10,80,70,150,Yb,x,-38830.0,300.0,0,7965.0,2.0,0,B-,-14059.0,424.0,0,149,958314.0,322.0,0
8,79,71,150,Lu,-p,-24771.0,300.0,0,7866.0,2.0,0,B-,999999.0,999999.0,1,149,973407.0,322.0,0
41,96,55,151,Cs,x,-34280.0,500.0,0,8013.0,3.0,0,B-,10660.0,640.0,0,150,963199.0,537.0,0
39,95,56,151,Ba,x,-44940.0,400.0,0,8079.0,3.0,0,B-,8370.0,591.0,0,150,951755.0,429.0,0
37,94,57,151,La,x,-53310.339,435.473,1,8129.0436,2.8839,1,B-,7914.7191,435.833,1,150,942769.0,467.5,1
35,93,58,151,Ce,x,-61225.058,17.698,1,8176.2779,0.1172,1,B-,5554.6233,21.1885,1,150,934272.2,19.0,1
33,92,59,151,Pr,na,-66779.681,11.65,1,8207.8824,0.0772,1,B-,4163.5021,11.6789,1,150,928309.066,12.506,1
31,91,60,151,Nd,na,-70943.183,1.133,1,8230.2741,0.0075,1,B-,2443.0767,4.4734,1,150,923839.363,1.215,1
29,90,61,151,Pm,na,-73386.26,4.611,1,8241.2723,0.0305,1,B-,1190.2198,4.4757,1,150,921216.613,4.949,1
27,89,62,151,Sm,na,-74576.48,1.11,1,8243.9735,0.0074,1,B-,76.6182,0.5375,1,150,919938.859,1.191,1
25,88,63,151,Eu,na,-74653.098,1.166,1,8239.2998,0.0077,1,B-,-464.1779,2.7791,1,150,919856.606,1.251,1
23,87,64,151,Gd,na,-74188.92,2.993,1,8231.0446,0.0198,1,B-,-2565.3796,3.7615,1,150,920354.922,3.212,1
21,86,65,151,Tb,na,-71623.541,4.094,1,8208.8743,0.0271,1,B-,-2871.1525,4.9455,1,150,923108.97,4.395,1
19,85,66,151,Dy,-a,-68752.388,3.247,1,8184.6789,0.0215,1,B-,-5129.6421,8.7507,1,150,926191.279,3.486,1
17,84,67,151,Ho,-a,-63622.746,8.298,1,8145.5267,0.055,1,B-,-5356.4558,18.442,1,150,931698.176,8.908,1
15,83,68,151,Er,x,-58266.29,16.47,1,8104.8723,0.1091,1,B-,-7494.6768,25.4292,1,150,937448.567,17.681,1
13,82,69,151,Tm,na,-50771.613,19.375,1,8050.0576,0.1283,1,B-,-9229.2615,300.1329,1,150,945494.433,20.799,1
11,81,70,151,Yb,ep,-41542.352,300.492,1,7983.7556,1.99,1,B-,-11242.0,425.0,0,150,955402.453,322.591,1
9,80,71,151,Lu,-p,-30300.0,300.0,0,7904.0,2.0,0,B-,999999.0,999999.0,1,150,967471.0,322.0,0
42,97,55,152,Cs,x,-29130.0,500.0,0,7980.0,3.0,0,B-,12480.0,640.0,0,151,968728.0,537.0,0
40,96,56,152,Ba,x,-41610.0,400.0,0,8057.0,3.0,0,B-,7680.0,500.0,0,151,955330.0,429.0,0
38,95,57,152,La,x,-49290.0,300.0,0,8102.0,2.0,0,B-,9690.0,361.0,0,151,947085.0,322.0,0
36,94,58,152,Ce,x,-58980.0,200.0,0,8161.0,1.0,0,B-,4778.0,201.0,0,151,936682.0,215.0,0
34,93,59,152,Pr,x,-63758.07,18.537,1,8187.1049,0.122,1,B-,6391.5934,30.7035,1,151,931552.9,19.9,1
32,92,60,152,Nd,na,-70149.663,24.476,1,8224.0078,0.161,1,B-,1104.805,18.5011,1,151,924691.242,26.276,1
30,91,61,152,Pm,na,-71254.468,25.904,1,8226.1293,0.1704,1,B-,3508.5089,25.8859,1,151,923505.185,27.809,1
28,90,62,152,Sm,na,-74762.977,1.016,1,8244.0645,0.0067,1,B-,-1874.4774,0.6857,1,151,919738.646,1.09,1
26,89,63,152,Eu,na,-72888.5,1.166,1,8226.5854,0.0077,1,B-,1818.8037,0.7002,1,151,921750.98,1.252,1
24,88,64,152,Gd,na,-74707.304,1.007,1,8233.4042,0.0066,1,B-,-3990.0,40.0,1,151,919798.414,1.081,1
22,87,65,152,Tb,-,-70717.304,40.013,1,8202.0072,0.2632,1,B-,-599.3405,40.2575,1,151,924081.855,42.955,1
20,86,66,152,Dy,-a,-70117.963,4.593,1,8192.9171,0.0302,1,B-,-6513.3275,13.3176,1,151,924725.274,4.93,1
18,85,67,152,Ho,na,-63604.636,12.528,1,8144.9193,0.0824,1,B-,-3104.4174,9.815,1,151,931717.618,13.449,1
16,84,68,152,Er,na,-60500.218,8.83,1,8119.3485,0.0581,1,B-,-8779.9397,54.7434,1,151,935050.347,9.478,1
14,83,69,152,Tm,na,-51720.279,54.027,1,8056.4387,0.3554,1,B-,-5449.8923,139.62,1,151,944476.0,58.0,1
12,82,70,152,Yb,na,-46270.386,149.708,1,8015.4371,0.9849,1,B-,-12848.0,246.0,0,151,950326.699,160.718,1
10,81,71,152,Lu,x,-33422.0,196.0,0,7926.0,1.0,0,B-,999999.0,999999.0,1,151,964120.0,210.0,0
41,97,56,153,Ba,x,-36470.0,400.0,0,8023.0,3.0,0,B-,9590.0,500.0,0,152,960848.0,429.0,0
39,96,57,153,La,x,-46060.0,300.0,0,8081.0,2.0,0,B-,8850.0,361.0,0,152,950553.0,322.0,0
37,95,58,153,Ce,x,-54910.0,200.0,0,8134.0,1.0,0,B-,6659.0,201.0,0,152,941052.0,215.0,0
35,94,59,153,Pr,na,-61568.49,11.882,1,8172.0371,0.0777,1,B-,5761.8901,12.1896,1,152,933903.511,12.755,1
33,93,60,153,Nd,na,-67330.38,2.747,1,8204.5832,0.018,1,B-,3317.6236,9.3521,1,152,927717.868,2.949,1
31,92,61,153,Pm,na,-70648.003,9.063,1,8221.1536,0.0592,1,B-,1912.0559,9.0829,1,152,924156.252,9.729,1
29,91,62,153,Sm,-n,-72560.059,1.025,1,8228.5373,0.0067,1,B-,807.4073,0.7063,1,152,922103.576,1.1,1
27,90,63,153,Eu,na,-73367.466,1.171,1,8228.7011,0.0077,1,B-,-484.5225,0.715,1,152,921236.789,1.257,1
25,89,64,153,Gd,na,-72882.944,1.002,1,8220.4209,0.0066,1,B-,-1569.334,3.8444,1,152,921756.945,1.075,1
23,88,65,153,Tb,na,-71313.61,3.947,1,8205.0504,0.0258,1,B-,-2170.4134,1.9335,1,152,923441.694,4.237,1
21,87,66,153,Dy,na,-69143.197,4.001,1,8185.7514,0.0262,1,B-,-4131.1229,6.1571,1,152,925771.729,4.295,1
19,86,67,153,Ho,-a,-65012.074,5.066,1,8153.6372,0.0331,1,B-,-4545.3918,9.8899,1,152,930206.671,5.438,1
17,85,68,153,Er,na,-60466.682,9.285,1,8118.8154,0.0607,1,B-,-6494.0723,12.8812,1,152,935086.35,9.967,1
15,84,69,153,Tm,na,-53972.61,11.979,1,8071.2571,0.0783,1,B-,-6813.0,201.0,0,152,942058.023,12.86,1
13,83,70,153,Yb,x,-47160.0,200.0,0,8022.0,1.0,0,B-,-8784.0,250.0,0,152,949372.0,215.0,0
11,82,71,153,Lu,+a,-38375.462,150.017,1,7959.0882,0.9805,1,B-,-11075.0,335.0,0,152,958802.248,161.05,1
9,81,72,153,Hf,x,-27300.0,300.0,0,7882.0,2.0,0,B-,999999.0,999999.0,1,152,970692.0,322.0,0
42,98,56,154,Ba,x,-32920.0,500.0,0,8001.0,3.0,0,B-,8610.0,583.0,0,153,964659.0,537.0,0
40,97,57,154,La,x,-41530.0,300.0,0,8051.0,2.0,0,B-,10690.0,361.0,0,153,955416.0,322.0,0
38,96,58,154,Ce,x,-52220.0,200.0,0,8116.0,1.0,0,B-,5640.0,224.0,0,153,943940.0,215.0,0
36,95,59,154,Pr,+,-57859.602,100.005,1,8147.2994,0.6494,1,B-,7720.0,100.0,1,153,937885.165,107.36,1
34,94,60,154,Nd,x,-65579.602,1.025,1,8192.3491,0.0067,1,B-,2687.0,25.0,1,153,929597.404,1.1,1
32,93,61,154,Pm,-,-68266.602,25.021,1,8204.717,0.1625,1,B-,4188.9614,25.055,1,153,926712.791,26.861,1
30,92,62,154,Sm,na,-72455.564,1.305,1,8226.8379,0.0085,1,B-,-717.1969,1.1019,1,153,922215.756,1.4,1
28,91,63,154,Eu,na,-71738.367,1.188,1,8217.1006,0.0077,1,B-,1967.9913,0.7535,1,153,922985.699,1.275,1
26,90,64,154,Gd,na,-73706.358,0.994,1,8224.7996,0.0065,1,B-,-3549.6514,45.2983,1,153,920872.974,1.066,1
24,89,65,154,Tb,-,-70156.707,45.309,1,8196.6697,0.2942,1,B-,237.308,45.9008,1,153,924683.681,48.641,1
22,88,66,154,Dy,na,-70394.015,7.431,1,8193.1305,0.0483,1,B-,-5754.6363,10.1785,1,153,924428.92,7.977,1
20,87,67,154,Ho,-a,-64639.378,8.216,1,8150.6825,0.0534,1,B-,-2034.4045,9.4621,1,153,930606.776,8.82,1
18,86,68,154,Er,na,-62604.974,4.961,1,8132.3919,0.0322,1,B-,-8177.8316,14.9113,1,153,932790.799,5.325,1
16,85,69,154,Tm,-a,-54427.142,14.412,1,8074.209,0.0936,1,B-,-4495.0495,13.9528,1,153,941570.062,15.471,1
14,84,70,154,Yb,na,-49932.093,17.281,1,8039.9402,0.1122,1,B-,-10265.0,201.0,0,153,946395.696,18.551,1
12,83,71,154,Lu,+a,-39667.0,201.0,0,7968.0,1.0,0,B-,-6937.0,361.0,0,153,957416.0,216.0,0
10,82,72,154,Hf,x,-32730.0,300.0,0,7918.0,2.0,0,B-,999999.0,999999.0,1,153,964863.0,322.0,0
41,98,57,155,La,x,-37930.0,400.0,0,8028.0,3.0,0,B-,9850.0,500.0,0,154,959280.0,429.0,0
39,97,58,155,Ce,x,-47780.0,300.0,0,8087.0,2.0,0,B-,7635.0,300.0,0,154,948706.0,322.0,0
37,96,59,155,Pr,na,-55415.335,17.198,1,8131.0398,0.111,1,B-,6868.4609,19.4725,1,154,940509.193,18.462,1
35,95,60,155,Nd,na,-62283.796,9.154,1,8170.305,0.0591,1,B-,4656.2095,10.2781,1,154,933135.598,9.826,1
33,94,61,155,Pm,na,-66940.006,4.719,1,8195.2977,0.0304,1,B-,3251.1999,4.9024,1,154,928136.951,5.065,1
31,93,62,155,Sm,-n,-70191.206,1.332,1,8211.2258,0.0086,1,B-,1627.1314,1.2016,1,154,924646.645,1.429,1
29,92,63,155,Eu,na,-71818.337,1.252,1,8216.676,0.0081,1,B-,251.9612,0.8682,1,154,922899.847,1.343,1
27,91,64,155,Gd,na,-72070.298,0.983,1,8213.2541,0.0063,1,B-,-819.8588,9.7884,1,154,922629.356,1.055,1
25,90,65,155,Tb,+,-71250.439,9.83,1,8202.9173,0.0634,1,B-,-2094.5,1.8974,1,154,923509.511,10.552,1
23,89,66,155,Dy,na,-69155.939,9.645,1,8184.357,0.0622,1,B-,-3116.1405,16.5887,1,154,925758.049,10.354,1
21,88,67,155,Ho,na,-66039.799,17.47,1,8159.2055,0.1127,1,B-,-3830.6268,18.473,1,154,929103.363,18.754,1
19,87,68,155,Er,-a,-62209.172,6.074,1,8129.4444,0.0392,1,B-,-5583.2509,11.5109,1,154,933215.71,6.52,1
17,86,69,155,Tm,-a,-56625.921,9.921,1,8088.376,0.064,1,B-,-6123.3072,19.3388,1,154,939209.576,10.651,1
15,85,70,155,Yb,-a,-50502.614,16.6,1,8043.8234,0.1071,1,B-,-7957.5578,25.4153,1,154,945783.216,17.82,1
13,84,71,155,Lu,na,-42545.056,19.245,1,7987.4369,0.1242,1,B-,-8235.0,301.0,0,154,954326.005,20.66,1
11,83,72,155,Hf,x,-34310.0,300.0,0,7929.0,2.0,0,B-,-10322.0,424.0,0,154,963167.0,322.0,0
9,82,73,155,Ta,-p,-23988.0,300.0,0,7858.0,2.0,0,B-,999999.0,999999.0,1,154,974248.0,322.0,0
42,99,57,156,La,x,-33050.0,400.0,0,7997.0,3.0,0,B-,11769.0,500.0,0,155,964519.0,429.0,0
40,98,58,156,Ce,x,-44820.0,300.0,0,8068.0,2.0,0,B-,6630.0,300.0,0,155,951884.0,322.0,0
38,97,59,156,Pr,x,-51449.307,1.025,1,8105.2337,0.0066,1,B-,8752.8229,1.6585,1,155,944766.9,1.1,1
36,96,60,156,Nd,x,-60202.13,1.304,1,8156.3265,0.0084,1,B-,3964.7175,1.7642,1,155,935370.358,1.4,1
34,95,61,156,Pm,na,-64166.847,1.188,1,8176.7263,0.0076,1,B-,5193.8878,8.6044,1,155,931114.059,1.275,1
32,94,62,156,Sm,na,-69360.735,8.522,1,8205.0054,0.0546,1,B-,722.109,7.9025,1,155,925538.191,9.148,1
30,93,63,156,Eu,na,-70082.844,3.532,1,8204.6192,0.0226,1,B-,2452.4891,3.4083,1,155,924762.976,3.791,1
28,92,64,156,Gd,na,-72535.333,0.983,1,8215.3253,0.0063,1,B-,-2444.323,3.6774,1,155,922130.12,1.054,1
26,91,65,156,Tb,na,-70091.01,3.768,1,8194.6415,0.0242,1,B-,438.3762,3.6789,1,155,924754.209,4.044,1
24,90,66,156,Dy,na,-70529.386,0.988,1,8192.4366,0.0063,1,B-,-4990.9836,38.4111,1,155,924283.593,1.06,1
22,89,67,156,Ho,-,-65538.403,38.424,1,8155.428,0.2463,1,B-,-1326.7201,45.6391,1,155,929641.634,41.249,1
20,88,68,156,Er,na,-64211.683,24.629,1,8141.9084,0.1579,1,B-,-7377.2657,26.7099,1,155,931065.926,26.44,1
18,87,69,156,Tm,na,-56834.417,14.279,1,8089.6032,0.0915,1,B-,-3568.8794,12.5484,1,155,938985.746,15.328,1
16,86,70,156,Yb,na,-53265.538,9.308,1,8061.7107,0.0597,1,B-,-9565.988,54.9162,1,155,942817.096,9.992,1
14,85,71,156,Lu,-a,-43699.55,54.122,1,7995.3752,0.3469,1,B-,-5880.0352,139.6908,1,155,953086.606,58.102,1
12,84,72,156,Hf,na,-37819.514,149.74,1,7952.6676,0.9599,1,B-,-11819.0,335.0,0,155,959399.083,160.752,1
10,83,73,156,Ta,-p,-26001.0,300.0,0,7872.0,2.0,0,B-,999999.0,999999.0,1,155,972087.0,322.0,0
43,100,57,157,La,x,-29070.0,300.0,0,7972.0,2.0,0,B-,10860.0,500.0,0,156,968792.0,322.0,0
41,99,58,157,Ce,x,-39930.0,400.0,0,8037.0,3.0,0,B-,8504.0,400.0,0,156,957133.0,429.0,0
39,98,59,157,Pr,x,-48434.806,3.167,1,8085.817,0.0202,1,B-,8059.3109,3.8207,1,156,948003.1,3.4,1
37,97,60,157,Nd,na,-56494.117,2.137,1,8132.1671,0.0136,1,B-,5802.9994,7.3246,1,156,939351.074,2.294,1
35,96,61,157,Pm,na,-62297.116,7.006,1,8164.1458,0.0446,1,B-,4380.5376,8.265,1,156,933121.298,7.521,1
33,95,62,157,Sm,na,-66677.654,4.434,1,8187.0642,0.0282,1,B-,2781.4807,6.1191,1,156,928418.598,4.759,1
31,94,63,157,Eu,na,-69459.134,4.234,1,8199.7975,0.027,1,B-,1364.7614,4.1973,1,156,925432.556,4.545,1
29,93,64,157,Gd,na,-70823.896,0.977,1,8203.5072,0.0062,1,B-,-60.0473,0.2972,1,156,923967.424,1.048,1
27,92,65,157,Tb,na,-70763.848,1.018,1,8198.1416,0.0065,1,B-,-1339.1791,5.1297,1,156,924031.888,1.092,1
25,91,66,157,Dy,na,-69424.669,5.154,1,8184.6287,0.0328,1,B-,-2591.8068,23.7839,1,156,925469.555,5.532,1
23,90,67,157,Ho,na,-66832.862,23.469,1,8163.1373,0.1495,1,B-,-3419.2146,33.6675,1,156,928251.974,25.194,1
21,89,68,157,Er,na,-63413.648,26.505,1,8136.3757,0.1688,1,B-,-4704.369,38.5152,1,156,931922.652,28.454,1
19,88,69,157,Tm,x,-58709.279,27.945,1,8101.4285,0.178,1,B-,-5289.3667,29.9971,1,156,936973.0,30.0,1
17,87,70,157,Yb,na,-53419.912,10.905,1,8062.7551,0.0695,1,B-,-6980.0942,14.2406,1,156,942651.368,11.706,1
15,86,71,157,Lu,na,-46439.818,12.074,1,8013.3128,0.0769,1,B-,-7585.0,201.0,0,156,950144.807,12.961,1
13,85,72,157,Hf,-a,-38855.0,200.0,0,7960.0,1.0,0,B-,-9259.0,250.0,0,156,958288.0,215.0,0
11,84,73,157,Ta,IT,-29595.948,150.052,1,7896.0608,0.9557,1,B-,-9906.0,427.0,0,156,968227.445,161.087,1
9,83,74,157,W,x,-19690.0,400.0,0,7828.0,3.0,0,B-,999999.0,999999.0,1,156,978862.0,429.0,0
42,100,58,158,Ce,x,-36540.0,400.0,0,8015.0,3.0,0,B-,7610.0,500.0,0,157,960773.0,429.0,0
40,99,59,158,Pr,x,-44150.0,300.0,0,8059.0,2.0,0,B-,9685.0,300.0,0,157,952603.0,322.0,0
38,98,60,158,Nd,x,-53835.123,1.304,1,8114.9529,0.0083,1,B-,5271.0196,1.5776,1,157,942205.62,1.4,1
36,97,61,158,Pm,na,-59106.143,0.888,1,8143.3622,0.0056,1,B-,6145.7062,4.8634,1,157,936546.948,0.953,1
34,96,62,158,Sm,na,-65251.849,4.782,1,8177.3075,0.0303,1,B-,2018.6123,5.1146,1,157,929949.262,5.133,1
32,95,63,158,Eu,na,-67270.461,2.032,1,8185.132,0.0129,1,B-,3419.5081,2.2547,1,157,927782.192,2.181,1
30,94,64,158,Gd,na,-70689.969,0.976,1,8201.8229,0.0062,1,B-,-1219.0862,0.9799,1,157,924111.2,1.048,1
28,93,65,158,Tb,na,-69470.883,1.268,1,8189.1556,0.008,1,B-,936.2686,2.475,1,157,925419.942,1.36,1
26,92,66,158,Dy,na,-70407.152,2.337,1,8190.1298,0.0148,1,B-,-4219.7555,27.0048,1,157,924414.817,2.509,1
24,91,67,158,Ho,-,-66187.396,27.106,1,8158.4709,0.1716,1,B-,-883.5812,37.0236,1,157,928944.91,29.099,1
22,90,68,158,Er,na,-65303.815,25.219,1,8147.927,0.1596,1,B-,-6600.6151,31.3411,1,157,929893.474,27.074,1
20,89,69,158,Tm,na,-58703.2,25.219,1,8101.1994,0.1596,1,B-,-2693.5796,26.4499,1,157,936979.525,27.074,1
18,88,70,158,Yb,na,-56009.62,7.973,1,8079.1999,0.0505,1,B-,-8797.4201,16.8655,1,157,939871.202,8.559,1
16,87,71,158,Lu,-a,-47212.2,15.125,1,8018.5685,0.0957,1,B-,-5109.801,14.9373,1,157,949315.62,16.236,1
14,86,72,158,Hf,na,-42102.399,17.494,1,7981.2764,0.1107,1,B-,-10984.0,201.0,0,157,954801.217,18.78,1
12,85,73,158,Ta,+a,-31118.0,201.0,0,7907.0,1.0,0,B-,-7426.0,361.0,0,157,966593.0,215.0,0
10,84,74,158,W,-a,-23693.0,300.0,0,7855.0,2.0,0,B-,999999.0,999999.0,1,157,974565.0,322.0,0
43,101,58,159,Ce,x,-31340.0,500.0,0,7983.0,3.0,0,B-,9430.0,640.0,0,158,966355.0,537.0,0
41,100,59,159,Pr,x,-40770.0,400.0,0,8037.0,3.0,0,B-,8954.0,401.0,0,158,956232.0,429.0,0
39,99,60,159,Nd,x,-49724.007,29.808,1,8088.8224,0.1875,1,B-,6830.3441,31.4529,1,158,946619.085,32.0,1
37,98,61,159,Pm,na,-56554.351,10.039,1,8126.8601,0.0631,1,B-,5653.4982,11.6438,1,158,939286.409,10.777,1
35,97,62,159,Sm,na,-62207.849,5.934,1,8157.4963,0.0373,1,B-,3835.5363,7.3211,1,158,933217.13,6.37,1
33,96,63,159,Eu,na,-66043.386,4.32,1,8176.6987,0.0272,1,B-,2518.4717,4.3657,1,158,929099.512,4.637,1
31,95,64,159,Gd,na,-68561.857,0.98,1,8187.6177,0.0062,1,B-,970.7242,0.7495,1,158,926395.822,1.051,1
29,94,65,159,Tb,na,-69532.582,1.103,1,8188.8025,0.0069,1,B-,-365.3613,1.1573,1,158,925353.707,1.184,1
27,93,66,159,Dy,na,-69167.22,1.439,1,8181.5842,0.0091,1,B-,-1837.6,2.6833,1,158,925745.938,1.544,1
25,92,67,159,Ho,-,-67329.62,3.045,1,8165.1066,0.0192,1,B-,-2768.5,2.0,1,158,927718.683,3.268,1
23,91,68,159,Er,-,-64561.12,3.643,1,8142.7742,0.0229,1,B-,-3990.7162,28.1813,1,158,930690.79,3.91,1
21,90,69,159,Tm,x,-60570.404,27.945,1,8112.7549,0.1758,1,B-,-4736.8869,33.0155,1,158,934975.0,30.0,1
19,89,70,159,Yb,x,-55833.517,17.582,1,8078.0428,0.1106,1,B-,-6124.9081,41.5648,1,158,940060.257,18.874,1
17,88,71,159,Lu,x,-49708.609,37.663,1,8034.6009,0.2369,1,B-,-6856.003,41.2456,1,158,946635.615,40.433,1
15,87,72,159,Hf,-a,-42852.606,16.813,1,7986.561,0.1057,1,B-,-8413.4492,25.8909,1,158,953995.837,18.049,1
13,86,73,159,Ta,IT,-34439.157,19.689,1,7928.7258,0.1238,1,B-,-9005.0,301.0,0,158,963028.046,21.137,1
11,85,74,159,W,-a,-25434.0,300.0,0,7867.0,2.0,0,B-,-10629.0,427.0,0,158,972696.0,322.0,0
9,84,75,159,Re,IT,-14805.0,305.0,0,7795.0,2.0,0,B-,999999.0,999999.0,1,158,984106.0,327.0,0
42,101,59,160,Pr,x,-36200.0,400.0,0,8009.0,2.0,0,B-,10525.0,402.0,0,159,961138.0,429.0,0
40,100,60,160,Nd,x,-46724.515,46.575,1,8069.9662,0.2911,1,B-,6170.1238,46.6198,1,159,949839.172,50.0,1
38,99,61,160,Pm,x,-52894.639,2.049,1,8103.6398,0.0128,1,B-,7338.5338,2.833,1,159,943215.272,2.2,1
36,98,62,160,Sm,x,-60233.172,1.956,1,8144.6159,0.0122,1,B-,3260.2763,2.1547,1,159,935337.032,2.1,1
34,97,63,160,Eu,x,-63493.449,0.904,1,8160.103,0.0057,1,B-,4448.6112,1.4417,1,159,931836.982,0.97,1
32,96,64,160,Gd,na,-67942.06,1.123,1,8183.0171,0.007,1,B-,-105.5863,1.0207,1,159,927061.202,1.206,1
30,95,65,160,Tb,na,-67836.474,1.11,1,8177.4676,0.0069,1,B-,1835.9516,1.1011,1,159,927174.553,1.191,1
28,94,66,160,Dy,na,-69672.425,0.7,1,8184.0526,0.0044,1,B-,-3290.0,15.0,1,159,925203.578,0.751,1
26,93,67,160,Ho,-,-66382.425,15.016,1,8158.6004,0.0939,1,B-,-318.2488,28.5197,1,159,928735.538,16.12,1
24,92,68,160,Er,na,-66064.176,24.246,1,8151.7217,0.1515,1,B-,-5763.1395,39.1333,1,159,929077.193,26.029,1
22,91,69,160,Tm,na,-60301.037,32.686,1,8110.8124,0.2043,1,B-,-2137.8101,33.1447,1,159,935264.177,35.089,1
