#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
42P	15	42	0	0	0	100	0	18729.5899	95.0504	12029.1041	95.0977	7787.0558	95.1748118947	0	0	0.0485	0.0015	50	20	0	0	0	0	0.626668	0.049420527405134	0.036386992456118	0.667688	0.026255992912278	0.020775193929531	0.0015	20	0
43P	15	43	0	0	0	100	0	17236	300	14607	300	7906.4833	300.069161929	3300	550	0.0365	0.0015	95	5	0	0	0	0	0.614012	0.07287833564599	0.043007469485307	0.667521	0.026445838725533	0.020815304415187	0.0015	5	0
44P	15	44	0	0	0	100	0	20314	400	15234	400	12604.8754	400.043771572	5240	500	0.0185	0.0025	0	0	0	0	0	0	0.610157	0.079079675215469	0.045384140943551	0.656631	0.037499761654508	0.023505378515244	0.0025	0	0
41S	16	41	0	0	0	100	0	8298.6116	68.8456	477.9204	32.3264	0	0	0	0	2.6	1.4	0	0	0	0	0	0	0.673027	0.020194366775319	0.020192548958864	0.673038	0.020191220455921	0.020284316564765	1.4	0	0
42S	16	42	0	0	0	100	0	7194.0221	59.6811	1598.1258	68.7803	0	0	0	0	1.03	0.03	0.5	0.5	0	0	0	0	0.6732	0.02070197616171	0.020204851397622	0.673038	0.020191220455921	0.020284316564765	0.03	0.5	0
43S	16	43	0	0	0	100	0	11964.05	62.0579	4564.9912	59.8225	0	0	0	0	0.273	0.027	40	10	0	0	0	0	0.663564	0.030107441486888	0.021324434081269	0.673038	0.020191220455921	0.020284316564765	0.027	10	0
44S	16	44	0	0	0	100	0	11274.7373	85.7253	6883.9563	62.0781	0	0	0	0	0.1	0.001	18	3	0	0	0	0	0.653943	0.040631958192094	0.024675663953055	0.673038	0.020191220455921	0.020284316564765	0.001	3	0
45S	16	45	0	0	0	100	0	14922	329	9067	312	4676.3299	361.397201585	0	0	0.068	0.002	54	10	0	0	0	0	0.643157	0.048398376315576	0.028716087093894	0.670897	0.021494288593673	0.020279491984468	0.002	10	0
46S	16	46	0	0	0	100	0	14375	411	10831	422	4976.3885	430.92914455	290	500	0.05	0.008	0	0	0	0	0	0	0.634442	0.050976554279665	0.033574245341148	0.670125	0.021385028526109	0.020351363321962	0.008	0	0
43Cl	17	43	0	0	0	100	0	7850.3002	62.086	2191.8495	62.1275	0	0	0	0	3.175	0.09	0	0	0	0	0	0	0.671046	0.021512190723039	0.02026657419754	0.67304	0.020191274908732	0.020284567864266	0.09	0	0
44Cl	17	44	0	0	0	100	0	12194.2869	85.5811	3459.5192	85.731	0	0	0	0	0.65	0.05	4	4	0	0	0	0	0.668452	0.025438142024794	0.020607978374251	0.67304	0.020191274908732	0.020284567864266	0.05	4	0
45Cl	17	45	0	0	0	100	0	11508.2568	136.1643	6339.3978	136.1726	0	0	0	0	0.4	0.043	24	4	0	0	0	0	0.655959	0.038334480467497	0.0238473245609	0.67304	0.020191274908732	0.020284567864266	0.043	4	0
46Cl	17	46	0	0	0	100	0	16036.3062	97.2766	7964.5344	97.2501	2795.6755	97.3173536774	0	0	0.232	0.002	60	9	0	0	0	0	0.64981	0.047827251734654	0.026216284509633	0.6732	0.02053249181176	0.020211367098739	0.002	9	0
47Cl	17	47	0	0	0	100	0	15787	200	12120	200	4047.8912	200.004322358	0	0	0.101	0.006	1.5	1.5	0	0	0	0	0.626312	0.049931154304799	0.036509147596316	0.67252	0.021187326314568	0.02020295612924	0.006	1.5	0
47Ar	18	47	0	0	0	100	0	10344.7078	1.849	1975.3375	1.4122	0	0	0	0	1.23	0.03	0.1	0.1	0	0	0	0	0.672162	0.021297217724849	0.02021053544119	0.673038	0.020191220455921	0.020284220850198	0.03	0.1	0
48Ar	18	48	0	0	0	100	0	9929.555	16.7847	5285.7367	16.825	0	0	0	0	0.424	0.024	38	6	0	0	0	0	0.661665	0.033945646024233	0.021370526526094	0.673038	0.020191220455921	0.020284220850198	0.024	6	0
49Ar	18	49	0	0	0	100	0	12551	400	7153	400	2508.8499	400.003242527	0	0	0.236	0.008	29	6	0	0	0	0	0.653097	0.042919141630141	0.025001260413589	0.6732	0.020518042231168	0.020207851939283	0.008	6	0
50Ar	18	50	0	0	0	100	0	12498	500	8310	500	2911.9932	500.060369256	0	0	0.106	0.006	37	7	0	0	0	0	0.647739	0.046352865282622	0.02708037207848	0.6732	0.02053992368535	0.020211878116593	0.006	7	0
48K	19	48	0	0	0	100	0	11940.3857	0.7734	1988.8654	2.3515	0	0	0	0	6.83	0.02	1.14	0.15	0	0	0	0	0.672119	0.021312136428451	0.020211837401506	0.673034	0.020191115190608	0.020283814548561	0.02	0.15	0
49K	19	49	0	0	0	100	0	11688.5069	0.8205	6542.0539	0.8013	0	0	0	0	1.263	0.05	86	9	0	0	0	0	0.655173	0.039383332488962	0.024257393716888	0.673034	0.020191115190608	0.020283814548561	0.05	9	0
50K	19	50	0	0	0	100	0	13861.3774	7.8919	7500.8319	7.7334	2354.3789	8.0492157736	0	0	0.472	0.004	28.6	3	0	0	0	0	0.651743	0.045672751397788	0.025468943543934	0.673262	0.020444024006531	0.020205023944049	0.004	3	0
51K	19	51	0	0	0	100	0	13816.8529	13.0517	9002.4553	13.1371	2641.9098	13.0633255295	0	0	0.365	0.005	65	8	0	0	0	0	0.64344	0.048102068679424	0.028552636502432	0.6732	0.020524782507983	0.020213212807468	0.005	8	0
52K	19	52	0	0	0	100	0	17128.6431	33.5405	11123.3631	33.5378	6308.9655	33.5845575874	0	0	0.11	0.005	72.2	9.3	2.3	0.3	0	0	0.633174	0.049498798610152	0.033485956934936	0.669432	0.024125271114779	0.020433382156697	0.005	9.3	0.3
