#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
31Ne	10	31	0	0	0	100	0	18935.5625	266.5617	14635.6061	266.2373	12358.964	267.028448846	7960	270	0.0034	0.0008	0	0	0	0	0	0	0.622874	0.055634964068366	0.037931977510913	0.656674	0.037468961181869	0.023483028532291	0.0008	0	0
32Ne	10	32	0	0	0	100	0	18359	504	16682	503	12381.8457	505.3975004	10110	500	0.0035	0.0009	0	0	0	0	0	0	0.615221	0.07287590267679	0.042185726815558	0.656629	0.037492923069253	0.023505328231635	0.0009	0	0
27Na	11	27	0	0	0	100	0	9068.8037	3.7266	2625.435	3.7264	0	0	0	0	0.3	0.007	0.13	0.04	0	0	0	0	0.669552	0.022111149713066	0.020415136458853	0.673093	0.020193702780424	0.020192815355569	0.007	0.04	0
28Na	11	28	0	0	0	100	0	14031.6303	10.2498	5526.9609	10.2465	0	0	0	0	0.0322	0.0018	0.84	0.17	0	0	0	0	0.660229	0.033970011822148	0.021890906404188	0.673093	0.020193702780424	0.020192815355569	0.0018	0.17	0
29Na	11	29	0	0	0	100	0	13292.3538	7.3447	9628.6213	7.3412	1123.9519	7.35292549806	0	0	0.0436	0.001	25	1.6	0	0	0	0	0.640159	0.044660111853341	0.030169131239612	0.67409	0.020242274953424	0.020272774138978	0.001	1.6	0
30Na	11	30	0	0	0	100	0	17356.0423	4.9011	11015.7117	4.7395	7351.9792	5.07597852832	0	0	0.0494	0.002	30	5	1.27	0.25	0	0	0.634719	0.051213505563132	0.033458803506176	0.667881	0.026044478265938	0.020730419391438	0.002	5	0.25
31Na	11	31	0	0	0	100	0	15368.1833	14.3065	13056.0859	14.0323	6715.7553	14.637070352	3051	14	0.0174	0.0004	37	6	0.79	0.24	0	0	0.627053	0.049042334766282	0.036215918148352	0.668752	0.025163704710428	0.020549720624709	0.0004	6	0.24
32Na	11	32	0	0	0	100	0	19469.0523	37.4021	13690.9853	37.3863	11378.888	37.5662501244	5029	39	0.0133	0.0004	24	8	8.8	2.5	0	0	0.625566	0.05099765778269	0.036732907144962	0.659156	0.035256711277463	0.022329254580088	0.0004	8	2.5
33Na	11	33	0	0	0	100	0	18817.24	449.9195	16537.6956	449.9235	10759.6286	449.937883946	8450	450	0.0081	0.0004	47	6	13	3	0	0	0.615979	0.072881665153843	0.041685789804164	0.661244	0.033952057092058	0.021514913566696	0.0004	6	3
34Na	11	34	0	0	0	100	0	23356.7903	599.4561	18645.9235	599.4224	16366.379	599.504595063	10590	600	0.005	0.0009	54	5	18	5	0	0	0.606287	0.083753839068619	0.047593632922189	0.648688	0.046699078258672	0.0266170206862	0.0009	5	5
35Na	11	35	0	0	0	100	0	22192	723	21437	670	16726.277	771.658395893	14850	670	0.0018	0.0005	0	0	0	0	0	0	0.599232	0.09485900426866	0.047654811371378	0.647554	0.046444075624609	0.027036019929428	0.0005	0	0
30Mg	12	30	0	0	0	100	0	6982.744	2.3287	1255.0717	1.34	0	0	0	0	0.317	0.005	0.03	0.03	0	0	0	0	0.6732	0.020524426057749	0.020213295426526	0.673093	0.020193721895285	0.02019282389821	0.005	0.03	0
31Mg	12	31	0	0	0	100	0	11828.5569	3.8009	4670.6466	3.6325	0	0	0	0	0.236	0.02	6.2	1.9	0	0	0	0	0.663386	0.030774252476647	0.021282731274355	0.673093	0.020193721895285	0.02019282389821	0.02	1.9	0
32Mg	12	32	0	0	0	100	0	10270.4677	7.8787	6050.4899	3.9531	0	0	0	0	0.086	0.005	5.4	0.5	0	0	0	0	0.657201	0.037194493677975	0.023223874955763	0.673093	0.020193721895285	0.02019282389821	0.005	0.5	0
33Mg	12	33	0	0	0	100	0	13460.255	7.4767	7990.9232	7.651	3770.9455	10.4740728435	0	0	0.0894	0.001	14	2	0	0	0	0	0.649832	0.047850350744813	0.026203407152537	0.672768	0.021107996201478	0.020200017020825	0.001	2	0
34Mg	12	34	0	0	0	100	0	11320.9428	7.2072	8749.3881	9.8143	3280.0564	10.3835380218	0	0	0.02	0.01	58	12	0	0	0	0	0.645117	0.048034401404828	0.027945368673898	0.6732	0.020741132852378	0.020203929617775	0.01	12	0
35Mg	12	35	0	0	0	100	0	15863.5156	269.7679	10566.0866	269.6758	7994.5319	269.958662484	2530	270	0.0113	0.0006	52	46	0	0	0	0	0.635663	0.052427241016595	0.033023570758053	0.666469	0.027346781970918	0.020946070852666	0.0006	46	0
36Mg	12	36	0	0	0	100	0	14429.7751	706.2429	12532.5711	690.2764	7235.142	721.896907172	4660	690	0.0058	0.0019	48	12	0	0	0	0	0.625061	0.05176202898215	0.03689296833204	0.668039	0.025873325858283	0.020695033606373	0.0019	12	0
37Mg	12	37	0	0	0	100	0	18401.9132	721.8139	14189.7752	714.758	12292.5711	744.014388104	7000	700	0.008	0.004	0	0	0	0	0	0	0.617142	0.069554366134324	0.040921752887036	0.656827	0.037388904264984	0.023406670547861	0.004	0	0
31Al	13	31	0	0	0	100	0	7998.3286	2.236	1410.9356	2.2357	0	0	0	0	0.644	0.025	0.8	0.8	0	0	0	0	0.6732	0.020542845396877	0.02020886580192	0.673094	0.02019376152559	0.020192872394793	0.025	0.8	0
32Al	13	32	0	0	0	100	0	12978.3208	7.1787	3778.3509	7.1726	0	0	0	0	0.0319	0.0008	0.7	0.5	0	0	0	0	0.667603	0.026349331548411	0.020795451378802	0.673094	0.02019376152559	0.020192872394793	0.0008	0.5	0
33Al	13	33	0	0	0	100	0	12016.946	7.0211	7508.989	6.9926	0	0	0	0	0.0417	0.0002	8.5	0.7	0	0	0	0	0.65184	0.045485210080201	0.025431494805457	0.673094	0.02019376152559	0.020192872394793	0.0002	0.7	0
34Al	13	34	0	0	0	100	0	16994.0653	2.2519	9445.3913	2.2176	4937.4343	2.4086794411	0	0	0.0563	0.0006	26	4	0	0	0	0	0.641105	0.047489970519284	0.029584108908712	0.669597	0.021348387694814	0.020408472190933	0.0006	4	0
35Al	13	35	0	0	0	100	0	14167.7504	36.6047	11696.6363	7.4023	4147.9622	51.2459257281	0	0	0.0376	0.0014	38	2	0	0	0	0	0.629711	0.04706388833457	0.034898338043077	0.671747	0.021438956453337	0.020225762527235	0.0014	2	0
36Al	13	36	0	0	0	100	0	18386.5096	165.851	12270.5464	153.7447	9799.4322	180.726497904	2250	150	0.094	0.037	15.5	15.5	0	0	0	0	0.625915	0.050490551487407	0.036622288193155	0.66298	0.03227480373852	0.021200562076511	0.037	15.5	0
37Al	13	37	0	0	0	100	0	16381.0765	213.1678	14174.3716	194.0176	8058.4084	244.292495571	5550	180	0.0107	0.0013	55	11	0	0	0	0	0.617209	0.069320700073736	0.040877188060248	0.666259	0.02753055708795	0.020973115137549	0.0013	11	0
38Al	13	38	0	0	0	100	0	20640	183	14970	188	12763.1901	222.767745566	6390	380	0.0082	0.0007	82	18	0	0	0	0	0.611853	0.077130959473146	0.044310682507135	0.655873	0.038445640766101	0.023891612689731	0.0007	18	0
39Al	13	39	0	0	0	100	0	19169	329	17589	318	11918.2278	373.580783549	8870	410	0.0076	0.0016	87	13	0	0	0	0	0.601167	0.093746155178226	0.047522191392023	0.65752	0.037030999113716	0.023071290630565	0.0016	13	0
35Si	14	35	0	0	0	100	0	10466.3291	35.9049	2085.9034	35.8665	0	0	0	0	0.78	0.12	2.63	2.63	0	0	0	0	0.671425	0.021554349017368	0.020242094421341	0.673094	0.0201937518939	0.020192870141523	0.12	2.63	0
36Si	14	36	0	0	0	100	0	7814.9194	72.9852	4350.3658	71.8217	0	0	0	0	0.45	0.06	12.4	4.6	0	0	0	0	0.664481	0.028981664348772	0.021225244884922	0.673094	0.0201937518939	0.020192870141523	0.06	4.6	0
37Si	14	37	0	0	0	100	0	12424.5003	119.9691	5608.2145	114.5623	2143.661	125.841289759	0	0	0.094	0.062	17	13	0	0	0	0	0.659581	0.034730219550197	0.022150944043198	0.673331	0.020377463728465	0.02020040823857	0.062	13	0
38Si	14	38	0	0	0	100	0	10451.2656	127.4736	6754.3952	111.4524	0	0	0	0	0.095	0.01	28	7	0	0	0	0	0.654496	0.040011092919519	0.024483037752991	0.673094	0.0201937518939	0.020192870141523	0.01	7	0
