#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	Qb	D_Qb	Qb1n	D_Qb1n	Qb2n	D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi	b_br	D_b_br	D_b_br_Hi	a_br	D_a_br	D_a_br_Hi
236Ac	89	236	0	0	0	100	0	4965.8	40.6669	-868.074	40.3564	-5534.6	43.0782	0	0	72	30	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	348	0	0	100	0	0	0	0	0
235Ac	89	235	0	0	0	100	0	3339.41	19.1127	-1327.12	14.2103	-7517.12	23.1816	0	0	62	4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4	0	0	100	0	0	0	0	0
218Ac	89	218	0	0	0	100	0	-1515.9	58.5648	-9426.25	58.5846	-15590.3	60.5262	0	0	0.00102	5e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5e-05	0	0	0	0	0	100	0	0
217Ac	89	217	0	0	0	100	0	-3503.46	15.4454	-9667.53	15.761	-18361.7	19.7824	0	0	6.9e-08	4e-09	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4e-09	0	0	0	0	0	100	0	0
216Ac	89	216	0	0	0	100	0	-2148.8	14.4375	-10843	11.1943	-18687.8	21.0734	0	0	0.36	0.007	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.007	0	0	0	0	0	100	0	0
215Ac	89	215	0	0	0	100	0	-4890.88	13.9296	-12735.7	16.3548	-22232.2	17.8639	0	0	0.17	0.01	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.01	0	0	0	0	0	99.91	0.02	0.02
214Ac	89	214	0	0	0	100	0	-4261.66	17.2389	-13758.2	16.3871	-21820.3	22.6156	0	0	8.2	0.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.2	0	0	0	0	0	89	0	0
213Ac	89	213	0	0	0	100	0	-5979.08	14.8635	-14041.2	15.4257	-23878	87.8284	0	0	0.738	0.021	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.021	0	0	0	0	0	100	0	0
223Ac	89	223	0	0	0	100	0	-1560.35	10.4712	-7449.3	12.2847	-15257.5	15.2983	0	0	127.2	2.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2.4	0	0	0	0	0	99	0	0
222Ac	89	222	0	0	0	100	0	-581.241	11.1289	-8389.45	9.1328	-14210.4	20.3239	0	0	4.9	0.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.4	0	0	0	0	0	99	1	1
221Ac	89	221	0	0	0	100	0	-2408.88	57.4376	-8229.81	58.5032	-16074.4	80.9202	0	0	0.052	0.002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.002	0	0	0	0	0	100	0	0
220Ac	89	220	0	0	0	100	0	-945.783	14.9144	-8790.34	56.7644	-14765.6	22.8033	0	0	0.0264	0.0002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0002	0	0	0	0	0	100	0	0
219Ac	89	219	0	0	0	100	0	-2893.23	76.3627	-8868.51	52.5371	-16778.9	95.5587	0	0	0.0095	0.0016	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0016	0	0	0	0	0	100	0	0
228Ac	89	228	0	0	0	100	0	2123.75	2.6446	-4981.42	2.5566	-10445.6	5.32945	0	0	22140	72	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	72	0	0	100	0	0	0	0	0
227Ac	89	227	0	0	0	100	0	44.7559	0.8297	-5419.45	4.7467	-12603.3	5.49154	0	0	6.87073e+08	82048	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	82048	0	0	98.62	0.0036	0.0036	1.38	0.0036	0.0036
226Ac	89	226	0	0	0	100	0	1111.55	4.5626	-6072.31	5.8762	-11829	11.46	0	0	105732	432	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	432	0	0	83	3	3	0.006	0.002	0.002
225Ac	89	225	0	0	0	100	0	-672.888	6.6576	-6429.59	10.6775	-13890.7	11.4411	0	0	857002	181.44	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	181.44	0	0	0	0	0	100	0	0
224Ac	89	224	0	0	0	100	0	238.567	10.3428	-7222.57	8.8233	-13111.5	17.3482	0	0	10008	612	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	612	0	0	0	0	0	9.1	1.4	2
198W	74	198	0	0	0	100	0	4149.35	1000	-670.653	1000	-5991.65	1414.21	0	0	20.4672	20.2625	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2026.25	0	0	100	0	0	0	0	0
199W	74	199	0	0	0	100	0	5833.35	1000	62.347	1000	-4049.65	1414.21	0	0	11.2652	11.1526	0	0	0	0	0	0	0.666756	0.0761916	0.0200197	0.668	0.02	0.02	1115.26	0	0	100	0	0	0	0	0
200W	74	200	0	0	0	100	0	4904.35	1000	332.347	1000	-4685.65	1414.21	0	0	13.4719	13.3372	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1333.72	0	0	100	0	0	0	0	0
201W	74	201	0	0	0	100	0	7791.35	1000	2281.35	1000	-333.653	1414.21	0	0	2.46766	2.44298	0.15	0.135	0	0	0	0	0.656714	0.0319341	0.0219822	0.668	0.02	0.02	244.298	1.35	0	100	0	0	0	0	0
202W	74	202	0	0	0	100	0	6783.35	1000	3763.35	1000	132.347	1414.21	0	0	2.26393	2.24129	0.23	0.207	0	0	0	0	0.664376	0.0233169	0.0201618	0.668	0.02	0.02	224.129	2.07	0	100	0	0	0	0	0
203W	74	203	0	0	0	100	0	8238.35	1000	4278.35	1000	1706.35	1414.21	0	0	1.55241	1.53689	0.25	0.225	0.01	0.009	0	0	0.65456	0.0356771	0.022659	0.668	0.02	0.02	153.689	2.25	0.09	100	0	0	0	0	0
204W	74	204	0	0	0	100	0	7338.35	1000	4364.35	1000	962.347	1414.21	0	0	1.15044	1.13894	0.42	0.378	0	0	0	0	0.662934	0.0252249	0.020474	0.668	0.02	0.02	113.894	3.78	0	100	0	0	0	0	0
205W	74	205	0	0	0	100	0	8864.35	1000	5023.35	1000	2680.35	1414.21	0	0	0.82824	0.819958	0.35	0.315	0.12	0.108	0	0	0.651718	0.0396059	0.0230842	0.668	0.02	0.02	81.9958	3.15	1.08	100	0	0	0	0	0
206W	74	206	0	0	0	100	0	8094.35	1000	5245.35	1000	2166.35	1414.21	0	0	0.26736	0.264686	0.82	0.738	0.01	0.009	0	0	0.659369	0.0295169	0.021121	0.668	0.02	0.02	26.4686	7.38	0.09	100	0	0	0	0	0
207W	74	207	0	0	0	100	0	9682.35	1000	6032.35	1000	4007.35	1414.21	0	0	0.06345	0.0628155	0.6	0.54	0.03	0.027	0	0	0.646585	0.0428654	0.025411	0.66663	0.0207868	0.0200143	6.28155	5.4	0.27	100	0	0	0	0	0
208W	74	208	0	0	0	100	0	8999.35	1000	6356.35	1000	3619.35	1414.21	0	0	0.0983	0.097317	0.91	0.819	0	0	0	0	0.65488	0.0355074	0.0225744	0.666782	0.0205231	0.0200098	9.7317	8.19	0	100	0	0	0	0	0
209W	74	209	0	0	0	100	0	10626.3	1000	7233.35	1000	5542.35	1414.21	0	0	0.06728	0.0666072	0.82	0.738	0.05	0.045	0	0	0.640594	0.0421561	0.0281612	0.664851	0.0221892	0.020177	6.66072	7.38	0.45	100	0	0	0	0	0
210W	74	210	0	0	0	100	0	9992.35	1000	7609.35	1000	5217.35	1414.21	0	0	0.06228	0.0616572	0.93	0.837	0.01	0.009	0	0	0.650305	0.0413846	0.0235129	0.665534	0.0219757	0.0200942	6.16572	8.37	0.09	100	0	0	0	0	0
211W	74	211	0	0	0	100	0	11605.3	1000	8529.35	1000	7134.35	1414.21	0	0	0.04616	0.0456984	0.85	0.765	0.08	0.072	0	0	0.635071	0.0457045	0.029864	0.662978	0.0242715	0.0203246	4.56984	7.65	0.72	100	0	0	0	0	0
212W	74	212	0	0	0	100	0	10993.3	1000	8896.35	1000	6830.35	1414.21	0	0	0.03715	0.0367785	0.93	0.837	0.01	0.009	0	0	0.643003	0.0431619	0.0271943	0.663168	0.0234725	0.0203199	3.67785	8.37	0.09	100	0	0	0	0	0
213W	74	213	0	0	0	100	0	12555.3	1000	9805.35	1000	8668.35	1414.21	0	0	0.02793	0.0276507	0.73	0.657	0.09	0.081	0	0	0.627278	0.0464162	0.0344922	0.660745	0.027692	0.0206823	2.76507	6.57	0.81	100	0	0	0	0	0
214W	74	214	0	0	0	100	0	11340.3	1000	9542.35	1000	7147.35	1414.21	0	0	0.03087	0.0305613	0.9	0.81	0.01	0.009	0	0	0.642858	0.043041	0.0272422	0.66297	0.024307	0.0203248	3.05613	8.1	0.09	100	0	0	0	0	0
215W	74	215	0	0	0	100	0	12750.3	1000	9862.35	1000	8267.35	1414.21	0	0	0.02728	0.0270072	0.82	0.738	0.11	0.099	0	0	0.627765	0.0455927	0.0341973	0.661406	0.0271571	0.020544	2.70072	7.38	0.99	100	0	0	0	0	0
216W	74	216	0	0	0	100	0	12087.3	1000	10069.3	1000	7936.35	1414.21	0	0	0.01989	0.0196911	0.87	0.783	0.02	0.018	0	0	0.637565	0.048211	0.0294793	0.661951	0.0266571	0.0204416	1.96911	7.83	0.18	100	0	0	0	0	0
217W	74	217	0	0	0	100	0	13492.3	1000	10895.3	1000	9627.35	1414.21	0	0	0.01599	0.0158301	0.72	0.648	0.15	0.135	0	0	0.623738	0.052481	0.0354127	0.658355	0.0292697	0.0213454	1.58301	6.48	1.35	100	0	0	0	0	0
218W	74	218	0	0	0	100	0	12758.3	1000	11085.3	1000	9167.35	1414.21	0	0	0.01467	0.0145233	0.9	0.81	0.04	0.036	0	0	0.634118	0.045169	0.0301624	0.659514	0.0289025	0.0209975	1.45233	8.1	0.36	100	0	0	0	0	0
219W	74	219	0	0	0	100	0	14062.3	1000	11805.3	1000	10708.3	1414.21	0	0	0.01384	0.0137016	0.61	0.549	0.33	0.297	0	0	0.619211	0.0597439	0.0377573	0.656562	0.0316816	0.0218075	1.37016	5.49	2.97	100	0	0	0	0	0
220W	74	220	0	0	0	100	0	13272.3	1000	11884.3	1000	10146.3	1414.21	0	0	0.01184	0.0117216	0.86	0.774	0.07	0.063	0	0	0.629061	0.0446823	0.0333391	0.657273	0.0298671	0.021705	1.17216	7.74	0.63	100	0	0	0	0	0
221W	74	221	0	0	0	100	0	14498.3	1000	12525.3	1000	11578.3	1414.21	0	0	0.01027	0.0101673	0.47	0.423	0.43	0.387	0	0	0.615543	0.066224	0.0405196	0.654905	0.0349505	0.0220721	1.01673	4.23	3.87	100	0	0	0	0	0
222W	74	222	0	0	0	100	0	13682.3	1000	12531.3	1000	10972.3	1414.21	0	0	0.00927	0.0091773	0.8	0.72	0.12	0.108	0	0	0.625524	0.0479382	0.0353879	0.656227	0.0330627	0.0218173	0.91773	7.2	1.08	100	0	0	0	0	0
223W	74	223	0	0	0	100	0	14881.3	1000	13145.3	1000	12380.3	1414.21	0	0	0.00676	0.0066924	0.45	0.405	0.48	0.432	0	0	0.613539	0.0713844	0.0413063	0.652607	0.0351175	0.022692	0.66924	4.05	4.32	100	0	0	0	0	0
224W	74	224	0	0	0	100	0	14083.3	1000	13138.3	1000	11805.3	1414.21	0	0	0.00743	0.0073557	0.69	0.621	0.27	0.243	0	0	0.623652	0.0526883	0.0353947	0.654255	0.0353553	0.0222398	0.73557	6.21	2.43	100	0	0	0	0	0
225W	74	225	0	0	0	100	0	15272.3	1000	13755.3	1000	13203.3	1414.21	0	0	0.00656	0.0064944	0.24	0.216	0.71	0.639	0	0	0.61113	0.0756156	0.0418932	0.651785	0.038649	0.0227807	0.64944	2.16	6.39	100	0	0	0	0	0
226W	74	226	0	0	0	100	0	14522.3	1000	13775.3	1000	12698.3	1414.21	0	0	0.00551	0.0054549	0.51	0.459	0.43	0.387	0	0	0.619777	0.0587898	0.0373295	0.652149	0.0362372	0.0227353	0.54549	4.59	3.87	100	0	0	0	0	0
199Re	75	199	0	0	0	100	0	5541	447	799	447	-5792	529.054	0	0	2.36981	2.34611	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	234.611	0	0	100	0	0	0	0	0
200Re	75	200	0	0	0	100	0	7030.35	1000	784.347	1000	-3315.65	1414.21	0	0	1.00196	0.99194	0	0	0	0	0	0	0.665646	0.0225349	0.02002	0.668	0.02	0.02	99.194	0	0	100	0	0	0	0	0
201Re	75	201	0	0	0	100	0	6065.35	1000	1520.35	1000	-4019.65	1414.21	0	0	1.21019	1.19809	0.01	0.009	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	119.809	0.09	0	100	0	0	0	0	0
202Re	75	202	0	0	0	100	0	9032.35	1000	3045.35	1000	499.347	1414.21	0	0	0.44747	0.442995	0.24	0.216	0	0	0	0	0.652947	0.0354125	0.0231092	0.668	0.02	0.02	44.2995	2.16	0	100	0	0	0	0	0
203Re	75	203	0	0	0	100	0	7950.35	1000	5072.35	1000	968.347	1414.21	0	0	0.54846	0.542975	0.84	0.756	0	0	0	0	0.661406	0.0276044	0.0206811	0.668	0.02	0.02	54.2975	7.56	0	100	0	0	0	0	0
204Re	75	204	0	0	0	100	0	9330.35	1000	4976.35	1000	2396.35	1414.21	0	0	0.36808	0.364399	0.81	0.729	0.02	0.018	0	0	0.651977	0.0380535	0.0231799	0.668	0.02	0.02	36.4399	7.29	0.18	100	0	0	0	0	0
205Re	75	205	0	0	0	100	0	8349.35	1000	5489.35	1000	1536.35	1414.21	0	0	0.34105	0.33764	0.87	0.783	0.01	0.009	0	0	0.659177	0.0295376	0.0211777	0.668	0.02	0.02	33.764	7.83	0.09	100	0	0	0	0	0
206Re	75	206	0	0	0	100	0	9792.35	1000	5500.35	1000	3105.35	1414.21	0	0	0.07603	0.0752697	0.88	0.792	0.08	0.072	0	0	0.650421	0.041369	0.02346	0.668	0.02	0.02	7.52697	7.92	0.72	100	0	0	0	0	0
207Re	75	207	0	0	0	100	0	8931.35	1000	6142.35	1000	2437.35	1414.21	0	0	0.32696	0.32369	0.83	0.747	0.06	0.054	0	0	0.656403	0.033209	0.0220895	0.668	0.02	0.02	32.369	7.47	0.54	100	0	0	0	0	0
208Re	75	208	0	0	0	100	0	10456.3	1000	6288.35	1000	4169.35	1414.21	0	0	0.0796	0.078804	0.78	0.702	0.18	0.162	0	0	0.645258	0.0436654	0.0261671	0.666564	0.020961	0.0200175	7.8804	7.02	1.62	100	0	0	0	0	0
209Re	75	209	0	0	0	100	0	9700.35	1000	7063.35	1000	3671.35	1414.21	0	0	0.13479	0.133442	0.9	0.81	0.04	0.036	0	0	0.65204	0.0376215	0.0232028	0.666759	0.0205592	0.0200102	13.3442	8.1	0.36	100	0	0	0	0	0
210Re	75	210	0	0	0	100	0	11278.3	1000	7317.35	1000	5510.35	1414.21	0	0	0.06218	0.0615582	0.73	0.657	0.23	0.207	0	0	0.64028	0.0420636	0.028321	0.664898	0.022158	0.0201702	6.15582	6.57	2.07	100	0	0	0	0	0
211Re	75	211	0	0	0	100	0	10621.3	1000	8202.35	1000	5170.35	1414.21	0	0	0.06136	0.0607464	0.94	0.846	0.03	0.027	0	0	0.646975	0.0426999	0.0251967	0.665614	0.0219728	0.0200863	6.07464	8.46	0.27	100	0	0	0	0	0
212Re	75	212	0	0	0	100	0	12221.3	1000	8524.35	1000	7056.35	1414.21	0	0	0.03537	0.0350163	0.69	0.621	0.28	0.252	0	0	0.635063	0.045698	0.0298705	0.663019	0.0240965	0.0203238	3.50163	6.21	2.52	100	0	0	0	0	0
213Re	75	213	0	0	0	100	0	11605.3	1000	9471.35	1000	6767.35	1414.21	0	0	0.03713	0.0367587	0.93	0.837	0.05	0.045	0	0	0.64052	0.0421351	0.028201	0.663199	0.0233467	0.0203193	3.67587	8.37	0.45	100	0	0	0	0	0
214Re	75	214	0	0	0	100	0	13196.3	1000	9807.35	1000	8656.35	1414.21	0	0	0.0279	0.027621	0.63	0.567	0.34	0.306	0	0	0.627003	0.0468849	0.0346611	0.660737	0.0277078	0.0206842	2.7621	5.67	3.06	100	0	0	0	0	0
215Re	75	215	0	0	0	100	0	12140.3	1000	10308.3	1000	7463.35	1414.21	0	0	0.02947	0.0291753	0.91	0.819	0.07	0.063	0	0	0.638135	0.0496715	0.0293295	0.662705	0.0252821	0.0203411	2.91753	8.19	0.63	100	0	0	0	0	0
216Re	75	216	0	0	0	100	0	13549.3	1000	10122.3	1000	8652.35	1414.21	0	0	0.03148	0.0311652	0.53	0.477	0.44	0.396	0	0	0.62633	0.0476286	0.0350712	0.660744	0.0276959	0.0206828	3.11652	4.77	3.96	100	0	0	0	0	0
217Re	75	217	0	0	0	100	0	12960.3	1000	10952.3	1000	8353.35	1414.21	0	0	0.02197	0.0217503	0.91	0.819	0.07	0.063	0	0	0.633965	0.0451149	0.0302369	0.661238	0.0272786	0.0205778	2.17503	8.19	0.63	100	0	0	0	0	0
218Re	75	218	0	0	0	100	0	14466.3	1000	11287.3	1000	10205.3	1414.21	0	0	0.01709	0.0169191	0.55	0.495	0.42	0.378	0	0	0.621089	0.0564248	0.0363454	0.657172	0.0300643	0.021738	1.69191	4.95	3.78	100	0	0	0	0	0
219Re	75	219	0	0	0	100	0	13802.3	1000	12209.3	1000	9880.35	1414.21	0	0	0.0167	0.016533	0.8	0.72	0.19	0.171	0	0	0.626254	0.047658	0.035118	0.657666	0.0293489	0.0215747	1.6533	7.2	1.71	100	0	0	0	0	0
220Re	75	220	0	0	0	100	0	15187.3	1000	12414.3	1000	11550.3	1414.21	0	0	0.014	0.01386	0.3	0.27	0.62	0.558	0	0	0.615271	0.066733	0.0407068	0.654915	0.0349452	0.0220705	1.386	2.7	5.58	100	0	0	0	0	0
221Re	75	221	0	0	0	100	0	14454.3	1000	13214.3	1000	11100.3	1414.21	0	0	0.01269	0.0125631	0.68	0.612	0.3	0.27	0	0	0.623144	0.0539217	0.0353962	0.656035	0.0338717	0.0218239	1.25631	6.12	2.7	100	0	0	0	0	0
222Re	75	222	0	0	0	100	0	15737.3	1000	13303.3	1000	12619.3	1414.21	0	0	0.01155	0.0114345	0.29	0.261	0.68	0.612	0	0	0.612434	0.0737471	0.0415767	0.652186	0.0359872	0.0227473	1.14345	2.61	6.12	100	0	0	0	0	0
223Re	75	223	0	0	0	100	0	14947.3	1000	14001.3	1000	12066.3	1414.21	0	0	0.01166	0.0115434	0.5	0.45	0.46	0.414	0	0	0.618449	0.0611828	0.0383283	0.653434	0.0352479	0.0224616	1.15434	4.5	4.14	100	0	0	0	0	0
224Re	75	224	0	0	0	100	0	16164.3	1000	14002.3	1000	13487.3	1414.21	0	0	0.0082	0.008118	0.23	0.207	0.73	0.657	0	0	0.609606	0.0764931	0.0424472	0.651559	0.0400176	0.022839	0.8118	2.07	6.57	100	0	0	0	0	0
225Re	75	225	0	0	0	100	0	15356.3	1000	14647.3	1000	12897.3	1414.21	0	0	0.00832	0.0082368	0.36	0.324	0.59	0.531	0	0	0.615142	0.0669725	0.0407947	0.651985	0.037355	0.0227303	0.82368	3.24	5.31	100	0	0	0	0	0
226Re	75	226	0	0	0	100	0	16524.3	1000	14609.3	1000	14263.3	1414.21	0	0	0.0078	0.007722	0.1	0.09	0.83	0.747	0	0	0.606614	0.0808324	0.0434109	0.649826	0.0411526	0.023594	0.7722	0.9	7.47	100	0	0	0	0	0
227Re	75	227	0	0	0	100	0	15744.3	1000	15239.3	1000	13714.3	1414.21	0	0	0.00677	0.0067023	0.24	0.216	0.63	0.567	0	0	0.612956	0.0726433	0.0414487	0.651377	0.0409058	0.02289	0.67023	2.16	5.67	100	0	0	0	0	0
201Os	76	201	0	0	0	100	0	5000	361	-1341	358	-6584	414.653	0	0	56.0858	55.5249	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5552.49	0	0	100	0	0	0	0	0
202Os	76	202	0	0	0	100	0	4110	500	-762	447	-7103	614.95	0	0	50.617	50.1108	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5011.08	0	0	100	0	0	0	0	0
203Os	76	203	0	0	0	100	0	7100	565	1299	500	-3573	720.44	0	0	6.61546	6.54931	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	654.931	0	0	100	0	0	0	0	0
204Os	76	204	0	0	0	100	0	5602.35	1000	2383.35	1000	-1632.65	1414.21	0	0	5.92264	5.86341	0.05	0.045	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	586.341	0.45	0	100	0	0	0	0	0
205Os	76	205	0	0	0	100	0	6955.35	1000	2742.35	1000	-259.653	1414.21	0	0	3.26105	3.22844	0.09	0.081	0	0	0	0	0.661043	0.0279226	0.0207426	0.668	0.02	0.02	322.844	0.81	0	100	0	0	0	0	0
206Os	76	206	0	0	0	100	0	5895.35	1000	2663.35	1000	-1257.65	1414.21	0	0	2.63277	2.60644	0.22	0.198	0	0	0	0	0.666954	0.0209223	0.0200161	0.668	0.02	0.02	260.644	1.98	0	100	0	0	0	0	0
207Os	76	207	0	0	0	100	0	7300.35	1000	3106.35	1000	220.347	1414.21	0	0	1.75575	1.73819	0.27	0.243	0	0	0	0	0.659126	0.0295446	0.0211936	0.668	0.02	0.02	173.819	2.43	0	100	0	0	0	0	0
208Os	76	208	0	0	0	100	0	6326.35	1000	3132.35	1000	-626.653	1414.21	0	0	0.88561	0.876754	0.66	0.594	0	0	0	0	0.666414	0.0221024	0.0199928	0.668	0.02	0.02	87.6754	5.94	0	100	0	0	0	0	0
209Os	76	209	0	0	0	100	0	7809.35	1000	3689.35	1000	1009.35	1414.21	0	0	0.10151	0.100495	0.29	0.261	0	0	0	0	0.656656	0.0321804	0.0220031	0.668	0.02	0.02	10.0495	2.61	0	100	0	0	0	0	0
210Os	76	210	0	0	0	100	0	6965.35	1000	3848.35	1000	373.347	1414.21	0	0	0.22412	0.221879	0.84	0.756	0	0	0	0	0.6635	0.0231959	0.0203276	0.668	0.02	0.02	22.1879	7.56	0	100	0	0	0	0	0
211Os	76	211	0	0	0	100	0	8504.35	1000	4546.35	1000	2131.35	1414.21	0	0	0.12592	0.124661	0.7	0.63	0.01	0.009	0	0	0.652455	0.0357101	0.0232553	0.668	0.02	0.02	12.4661	6.3	0.09	100	0	0	0	0	0
212Os	76	212	0	0	0	100	0	7758.35	1000	4807.35	1000	1650.35	1414.21	0	0	0.12435	0.123106	0.81	0.729	0	0	0	0	0.661135	0.0277947	0.0207269	0.668	0.02	0.02	12.3107	7.29	0	100	0	0	0	0	0
213Os	76	213	0	0	0	100	0	9354.35	1000	5624.35	1000	3531.35	1414.21	0	0	0.11539	0.114236	0.88	0.792	0.01	0.009	0	0	0.648827	0.0418592	0.0242274	0.666827	0.0204814	0.0200094	11.4236	7.92	0.09	100	0	0	0	0	0
214Os	76	214	0	0	0	100	0	8689.35	1000	5965.35	1000	3174.35	1414.21	0	0	0.06895	0.0682605	0.84	0.756	0	0	0	0	0.656331	0.0335128	0.0221152	0.668	0.02	0.02	6.82605	7.56	0	100	0	0	0	0	0
215Os	76	215	0	0	0	100	0	10307.3	1000	6857.35	1000	5095.35	1414.21	0	0	0.0631	0.062469	0.84	0.756	0.01	0.009	0	0	0.642233	0.0426764	0.0274555	0.665755	0.0219675	0.0200737	6.2469	7.56	0.09	100	0	0	0	0	0
216Os	76	216	0	0	0	100	0	9330.35	1000	6880.35	1000	4080.35	1414.21	0	0	0.05074	0.0502326	0.82	0.738	0	0	0	0	0.653474	0.0355006	0.0229623	0.666596	0.0208553	0.0200158	5.02326	7.38	0	100	0	0	0	0	0
217Os	76	217	0	0	0	100	0	10757.3	1000	7322.35	1000	5330.35	1414.21	0	0	0.05317	0.0526383	0.82	0.738	0.02	0.018	0	0	0.641057	0.0422963	0.0279361	0.665258	0.0219881	0.0201238	5.26383	7.38	0.18	100	0	0	0	0	0
218Os	76	218	0	0	0	100	0	10199.3	1000	7578.35	1000	5020.35	1414.21	0	0	0.04281	0.0423819	0.79	0.711	0	0	0	0	0.649919	0.0414732	0.0236957	0.665913	0.0219611	0.020061	4.23819	7.11	0	100	0	0	0	0	0
219Os	76	219	0	0	0	100	0	11804.3	1000	8606.35	1000	7040.35	1414.21	0	0	0.02896	0.0286704	0.68	0.612	0.02	0.018	0	0	0.634574	0.0453342	0.0300267	0.663021	0.0240883	0.0203239	2.86704	6.12	0.18	100	0	0	0	0	0
220Os	76	220	0	0	0	100	0	11224.3	1000	9031.35	1000	6866.35	1414.21	0	0	0.02813	0.0278487	0.82	0.738	0	0	0	0	0.64232	0.042727	0.0274265	0.66313	0.0236293	0.0203212	2.78487	7.38	0	100	0	0	0	0	0
221Os	76	221	0	0	0	100	0	12729.3	1000	9984.35	1000	8724.35	1414.21	0	0	0.02194	0.0217206	0.74	0.666	0.06	0.054	0	0	0.626425	0.0475935	0.0350151	0.660545	0.0279209	0.0207296	2.17206	6.66	0.54	100	0	0	0	0	0
222Os	76	222	0	0	0	100	0	12066.3	1000	10295.3	1000	8399.35	1414.21	0	0	0.02005	0.0198495	0.82	0.738	0.01	0.009	0	0	0.636779	0.046459	0.0295466	0.661136	0.0273526	0.0205988	1.98495	7.38	0.09	100	0	0	0	0	0
223Os	76	223	0	0	0	100	0	13461.3	1000	11120.3	1000	10088.3	1414.21	0	0	0.01808	0.0178992	0.7	0.63	0.12	0.108	0	0	0.622752	0.0543398	0.0355775	0.657295	0.0298244	0.021698	1.78992	6.3	1.08	100	0	0	0	0	0
224Os	76	224	0	0	0	100	0	12727.3	1000	11299.3	1000	9626.35	1414.21	0	0	0.01623	0.0160677	0.86	0.774	0.02	0.018	0	0	0.632909	0.0448206	0.0308187	0.658263	0.0292813	0.0213754	1.60677	7.74	0.18	100	0	0	0	0	0
225Os	76	225	0	0	0	100	0	14011.3	1000	12018.3	1000	11146.3	1414.21	0	0	0.01128	0.0111672	0.71	0.639	0.15	0.135	0	0	0.617774	0.0624627	0.0388359	0.655949	0.0342182	0.0218272	1.11672	6.39	1.35	100	0	0	0	0	0
226Os	76	226	0	0	0	100	0	13221.3	1000	12096.3	1000	10602.3	1414.21	0	0	0.01197	0.0118503	0.87	0.783	0.04	0.036	0	0	0.627365	0.0462753	0.0344434	0.656642	0.0313574	0.021807	1.18503	7.83	0.36	100	0	0	0	0	0
227Os	76	227	0	0	0	100	0	14426.3	1000	12716.3	1000	12010.3	1414.21	0	0	0.01021	0.0101079	0.59	0.531	0.35	0.315	0	0	0.614769	0.0676692	0.0410509	0.653527	0.035263	0.0224369	1.01079	5.31	3.15	100	0	0	0	0	0
228Os	76	228	0	0	0	100	0	13617.3	1000	12719.3	1000	11409.3	1414.21	0	0	0.00861	0.0085239	0.85	0.765	0.1	0.09	0	0	0.624557	0.0496251	0.0355937	0.655255	0.034735	0.0219858	0.85239	7.65	0.9	100	0	0	0	0	0
203Ir	77	203	0	0	0	100	0	5140	447	251	400	-6772	492.184	0	0	43.3748	42.941	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4294.1	0	0	100	0	0	0	0	0
204Ir	77	204	0	0	0	100	0	8050	447	1869	447	-3021	490.523	0	0	7.04392	6.97348	0.01	0.009	0	0	0	0	0.66665	0.0207066	0.0200173	0.668	0.02	0.02	697.348	0.09	0	100	0	0	0	0	0
