#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	Qb	D_Qb	Qb1n	D_Qb1n	Qb2n	D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi	b_br	D_b_br	D_b_br_Hi	a_br	D_a_br	D_a_br_Hi
224Ra	88	224	0	0	0	100	0	-1408.32	4.0869	-7070.54	7.0615	-13938.6	7.31854	0	0	313744	103.68	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	103.68	0	0	0	0	0	100	0	0
227Ra	88	227	0	0	0	100	0	1327.95	2.2622	-5203.06	3.2841	-10602.5	5.20816	0	0	2532	30	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	30	0	0	100	0	0	0	0	0
219Ra	88	219	0	0	0	100	0	-2175.7	51.9016	-9528.31	57.9952	-15451.1	73.9503	0	0	0.009	0.002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.002	0	0	0	0	0	100	0	0
218Ra	88	218	0	0	0	100	0	-4205.29	58.4224	-10128.1	14.8695	-17646.8	82.5707	0	0	0.02591	0.00014	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.00014	0	0	0	0	0	100	0	0
221Ra	88	221	0	0	0	100	0	-1567.17	57.0591	-8851.2	7.4535	-14748.3	95.6019	0	0	16	2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2	0	0	0	0	0	100	0	0
220Ra	88	220	0	0	0	100	0	-3471.66	9.6266	-9368.78	52.0099	-16721.4	58.7136	0	0	0.018	0.002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.002	0	0	0	0	0	100	0	0
223Ra	88	223	0	0	0	100	0	-591.81	6.9657	-7459.87	5.0882	-13440.4	57.7305	0	0	988001	86.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	86.4	0	0	0	0	0	100	0	0
222Ra	88	222	0	0	0	100	0	-2301.59	6.2737	-8282.16	57.0529	-15566.2	9.76167	0	0	33.6	0.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.4	0	0	0	0	0	100	0	0
214Ra	88	214	0	0	0	100	0	-6340.53	14.5317	-14119.6	12.7899	-23349.5	29.5583	0	0	2.438	0.016	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.016	0	0	0	0	0	99.94	0.004	0.004
213Ra	88	213	0	0	0	100	0	-5795.47	15.2463	-15025.4	23.9852	-22940.6	57.0777	0	0	163.8	3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3	0	0	0	0	0	86	2	2
