#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff
135Xe	54	135	0	0	0	100	0	0	0	0	0	0	0	0	0	32904	72	0	0	0	0	0	0	0.668	0.02	0.02
137Xe	54	137	0	0	0	100	0	0	0	0	0	0	0	0	0	229.08	0.78	0	0	0	0	0	0	0.668	0.02	0.02
138Xe	54	138	0	0	0	100	0	0	0	0	0	0	0	0	0	844.8	4.8	0	0	0	0	0	0	0.668	0.02	0.02
139Xe	54	139	0	0	0	100	0	0	0	0	0	0	0	0	0	39.68	0.14	0	0	0	0	0	0	0.668	0.02	0.02
140Xe	54	140	0	0	0	100	0	0	0	0	0	0	0	0	0	13.6	0.1	0	0	0	0	0	0	0.668	0.02	0.02
141Xe	54	141	0	0	0	100	0	0	0	0	0	0	0	0	0	1.73	0.01	0	0	0	0	0	0	0.668	0.02	0.02
136Cs	55	136	0	0	0	100	0	0	0	0	0	0	0	0	0	1126656	2592	0	0	0	0	0	0	0.668	0.02	0.02
138Cs	55	138	0	0	0	100	0	0	0	0	0	0	0	0	0	2004.6	10.8	0	0	0	0	0	0	0.668	0.02	0.02
139Cs	55	139	0	0	0	100	0	0	0	0	0	0	0	0	0	556.2	3	0	0	0	0	0	0	0.668	0.02	0.02
140Cs	55	140	0	0	0	100	0	0	0	0	0	0	0	0	0	63.7	0.3	0	0	0	0	0	0	0.668	0.02	0.02

