#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff	D_T1/2_[s] Hi	D_pn1 Hi	D_pn2 Hi
39Al	13	39	0	0	0	100	0	18330	420	16750	410	11080	420	8870	410	0.0076	0.0016	87	13	0	0	0	0	0.605811	0.089816991443429	0.045722295392389	0.0016	13	0
35Si	14	35	0	0	0	100	0	10466	36	2086	36	0	0	0	0	0.78	0.12	2.63	2.63	0	0	0	0	0.671425	0.021554704975074	0.020242094421341	0.12	2.63	0
36Si	14	36	0	0	0	100	0	7815	73	4350	72	0	0	0	0	0.45	0.06	12.4	4.6	0	0	0	0	0.664483	0.028979528076905	0.021224957845897	0.06	4.6	0
37Si	14	37	0	0	0	100	0	12420	120	5610	110	2140	110	0	0	0.094	0.062	17	13	0	0	0	0	0.659569	0.034745630807123	0.022155568784956	0.062	13	0
38Si	14	38	0	0	0	100	0	10450	130	6750	110	0	0	0	0	0.095	0.01	28	7	0	0	0	0	0.654511	0.039997373666391	0.024478023617296	0.01	7	0
39Si	14	39	0	0	0	100	0	15090	180	8870	150	5170	140	0	0	0.0475	0.002	60	13	0	0	0	0	0.644419	0.047898760305512	0.028196167963128	0.002	13	0
40Si	14	40	0	0	0	100	0	13540	380	10130	360	3910	350	210	350	0.033	0.001	59	12	0	0	0	0	0.637602	0.056162716319313	0.031785714957566	0.001	12	0
41Si	14	41	0	0	0	100	0	17100	570	12160	580	8750	570	2530	560	0.02	0.0025	80	20	0	0	0	0	0.626261	0.049997294377885	0.036512647399345	0.0025	20	0
42Si	14	42	0	0	0	100	0	15460	590	13380	510	8440	520	5030	510	0.0125	0.0035	0	0	0	0	0	0	0.620846	0.058685079714902	0.03897094564088	0.0035	0	0
36P	15	36	0	0	0	100	0	10413	13	524	13	0	0	0	0	5.7	0.4	0	0	0	0	0	0	0.673711	0.020215903649575	0.020230304900542	0.4	0	0
37P	15	37	0	0	0	100	0	7900	38	3597	38	0	0	0	0	2.31	0.12	0	0	0	0	0	0	0.668078	0.025830648804775	0.020686475694898	0.12	0	0
38P	15	38	0	0	0	100	0	12240	73	4204	73	0	0	0	0	0.61	0.14	12	5.3	0	0	0	0	0.665272	0.028369603356156	0.021108440955826	0.14	5.3	0
39P	15	39	0	0	0	100	0	10390	120	6020	110	0	0	0	0	0.204	0.045	26	8	0	0	0	0	0.657288	0.03715094829812	0.023181813657469	0.045	8	0
40P	15	40	0	0	0	100	0	14720	150	6980	160	2600	150	0	0	0.149	0.01	15.8	2.1	0	0	0	0	0.653672	0.041332237191151	0.024764157652252	0.01	2.1	0
41P	15	41	0	0	0	100	0	14030	120	9790	120	2040	130	0	0	0.101	0.005	30	10	0	0	0	0	0.63934	0.049022885441802	0.030683587991628	0.005	10	0
42P	15	42	0	0	0	100	0	18650	310	11950	310	7700	310	0	0	0.0485	0.0015	50	20	0	0	0	0	0.627157	0.048964122961451	0.03616372171644	0.0015	20	0
43P	15	43	0	0	0	100	0	16880	550	14250	550	7550	550	3300	550	0.0365	0.0015	95	5	0	0	0	0	0.616564	0.07159465724121	0.041300597798172	0.0015	5	0
44P	15	44	0	0	0	100	0	19660	500	14580	500	11950	500	5240	500	0.0185	0.0025	0	0	0	0	0	0	0.614199	0.072868143728525	0.042863548283371	0.0025	0	0
41S	16	41	0	0	0	100	0	8299	69	478	32	0	0	0	0	2.6	1.4	0	0	0	0	0	0	0.673028	0.020194703387413	0.020190885788038	1.4	0	0
42S	16	42	0	0	0	100	0	7194	60	1598	69	0	0	0	0	1.03	0.03	0.5	0.5	0	0	0	0	0.6732	0.020699342622412	0.020204557901622	0.03	0.5	0
43S	16	43	0	0	0	100	0	11964	62	4565	60	0	0	0	0	0.273	0.027	40	10	0	0	0	0	0.663564	0.030102940469104	0.021319776919246	0.027	10	0
44S	16	44	0	0	0	100	0	11180	140	6884	62	0	0	0	0	0.1	0.001	18	3	0	0	0	0	0.653942	0.040623186844801	0.024671394882082	0.001	3	0
45S	16	45	0	0	0	100	0	14300	1000	8300	1000	4000	1000	0	0	0.068	0.002	54	10	0	0	0	0	0.647652	0.046349047474502	0.026999913070112	0.002	10	0
46S	16	46	0	0	0	100	0	14200	540	10530	520	4580	520	290	500	0.05	0.008	0	0	0	0	0	0	0.635671	0.052439438013931	0.033018811050928	0.008	0	0
43Cl	17	43	0	0	0	100	0	7850	62	2192	62	0	0	0	0	3.175	0.09	0	0	0	0	0	0	0.671045	0.021511457733555	0.020266429108812	0.09	0	0
44Cl	17	44	0	0	0	100	0	12290	140	3550	140	0	0	0	0	0.65	0.05	4	4	0	0	0	0	0.668191	0.025711349482921	0.020662075700009	0.05	4	0
45Cl	17	45	0	0	0	100	0	11510	140	6340	140	0	0	0	0	0.4	0.043	24	4	0	0	0	0	0.655957	0.038331875146725	0.023847839907717	0.043	4	0
